quarter,gdp_qoq_log_growth_first_release
1991Q1,-0.209
1991Q2,-0.292
1991Q3,0.29
1991Q4,1.153
1992Q1,0.129
1992Q2,-0.924
1992Q3,0.116
1992Q4,0.059
1993Q1,0.489
1993Q2,0.371
1993Q3,0.313
1993Q4,0.362
1994Q1,-0.181
1994Q2,0.252
1994Q3,0.82
1994Q4,-0.113
1995Q1,0.116
1995Q2,0.61
1995Q3,0.152
1995Q4,-0.325
1996Q1,1.388
1996Q2,-0.936
1996Q3,0.481
1996Q4,0.61
1997Q1,0.647
1997Q2,0.175
1997Q3,-0.539
1997Q4,0.474
1998Q1,0.286
1998Q2,0.395
1998Q3,0.371
1998Q4,-0.191
1999Q1,0.761
1999Q2,0.682
1999Q3,0.286
1999Q4,0.325
2000Q1,0.319
2000Q2,-0.079
2000Q3,0.485
2000Q4,0.977
2001Q1,-0.165
2001Q2,0.024
2001Q3,0.127
2001Q4,-0.631
2002Q1,0.189
2002Q2,-0.394
2002Q3,0.228
2002Q4,-0.351
2003Q1,0.34
2003Q2,0.64
2003Q3,0.583
2003Q4,0.012
2004Q1,1.113
2004Q2,0.813
2004Q3,0.676
2004Q4,0.428
2005Q1,0.679
2005Q2,-0.027
2005Q3,0.784
2005Q4,0.073
2006Q1,0.21
2006Q2,0.421
2006Q3,-0.028
2006Q4,0.169
2007Q1,0.287
2007Q2,0.509
2007Q3,0.048
2007Q4,0.48
2008Q1,-0.079
2008Q2,0.346
2008Q3,-0.032
2008Q4,0.15
2009Q1,0.144
2009Q2,0.402
2009Q3,0.203
2009Q4,1.295
2010Q1,0.636
2010Q2,0.084
2010Q3,0.523
2010Q4,1.723
2011Q1,1.367
2011Q2,0.181
2011Q3,0.478
2011Q4,0.733
2012Q1,0.901
2012Q2,0.1
2012Q3,0.338
2012Q4,0.626
2013Q1,-0.032
2013Q2,0.134
2013Q3,-0.317
2013Q4,0.585
2014Q1,0.733
2014Q2,0.154
2014Q3,0.381
2014Q4,0.599
2015Q1,0.034
2015Q2,0.151
2015Q3,0.045
2015Q4,0.42
2016Q1,-0.032
2016Q2,-0.684
2016Q3,0.025
2016Q4,0.593
2017Q1,-0.07
2017Q2,0.767
2017Q3,0.02
2017Q4,-0.362
2018Q1,0.016
2018Q2,0.267
2018Q3,0.538
2018Q4,-0.317
2019Q1,-0.187
2019Q2,-0.036
2019Q3,0.619
2019Q4,0.196
2020Q1,-2.0
2020Q2,-9.5
2020Q3,8.7
2020Q4,0.6
2021Q1,0.121
2021Q2,-0.0
2021Q3,1.044
2021Q4,0.196
2022Q1,-0.052
2022Q2,0.937
2022Q3,-0.225
2022Q4,-0.041
2023Q1,-0.243
2023Q2,0.276
2023Q3,0.25
2023Q4,0.655
2024Q1,0.921
2024Q2,-0.215
2024Q3,0.324
2024Q4,0.469
2025Q1,0.229
2025Q2,0.084
2025Q3,-0.305
2025Q4,0.123
