dropped_quarter,dropped_error,rmsfe_excl_quarter,rmsfe_all_16
2022Q1,-0.4544,1.1071,0.9258
2022Q2,-0.3547,0.911,0.9859
2022Q3,1.2709,0.9353,0.9007
2022Q4,-0.5041,1.0107,0.9903
2023Q1,-1.6662,1.0118,1.0232
2023Q2,1.2092,0.9404,0.94
2023Q3,0.4806,0.9919,0.9975
2023Q4,-1.8547,0.95,0.9167
2024Q1,-0.9552,0.9023,1.0606
2024Q2,-2.4475,1.0138,0.9758
2024Q3,-0.6131,0.9483,0.9234
2024Q4,1.6324,1.0379,1.0666
2025Q1,-0.6869,0.997,1.0146
2025Q2,-0.422,0.9314,1.0677
2025Q3,-0.509,0.9727,1.01
2025Q4,-0.1065,0.9871,0.9512
