run,seed,cv_rmse,rmsfe_pre,rmsfe_COVID,rmsfe_post,rmsfe_full,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree
seed_42,42,0.9394,0.8911,2.1263,1.2772,1.0005,0.8,1.0,0.1,300,3,6,0.05,0.8
seed_0,0,0.9254,0.8522,2.7704,0.9809,1.0158,0.8,1.0,0.1,300,3,6,0.05,0.8
seed_1,1,1.0378,0.8107,3.45,1.0502,1.0857,0.8,1.0,0.1,300,3,6,0.05,0.8
seed_7,7,0.9598,0.8418,3.1418,1.2985,1.3326,0.8,1.0,0.1,300,3,6,0.05,0.8
seed_123,123,0.9531,0.9832,2.9241,1.1323,1.2122,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_max_depth-1,42,1.1385,0.8352,2.2361,1.2334,1.3896,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_max_depth+1,42,1.0289,0.864,2.4247,1.2643,1.2235,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_lr_half,42,1.1333,1.0883,2.4179,1.2163,1.0337,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_lr_double,42,0.9979,0.9851,2.6114,1.1999,1.3,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_n_estimators-100,42,0.9154,1.0571,2.1936,1.2149,1.0813,0.8,1.0,0.1,300,3,6,0.05,0.8
hp_n_estimators+100,42,1.0289,0.9019,2.4267,0.9015,1.2728,0.8,1.0,0.1,300,3,6,0.05,0.8
