quarter,error_M1,error_M2,error_M3,nowcast_M1,nowcast_M2,nowcast_M3,actual,revision_M1_to_M3,abs_revision_M1_to_M3
2011Q1,-0.4204,0.1667,-0.3265,0.9466,1.5337,1.0405,1.367,0.09389999999999998,0.09389999999999998
2011Q2,0.3179,0.2661,0.0208,0.4989,0.4471,0.2018,0.181,-0.29710000000000003,0.29710000000000003
2011Q3,2.5329,0.3612,-0.2133,3.0109,0.8392,0.2647,0.478,-2.7462,2.7462
2011Q4,1.3449,-0.1757,-0.1537,2.0779,0.5573,0.5793,0.733,-1.4986000000000002,1.4986000000000002
2012Q1,-0.0441,-0.0314,0.0855,0.8569,0.8696,0.9865,0.901,0.12960000000000005,0.12960000000000005
2012Q2,0.5448,0.248,-0.0626,0.6448,0.348,0.0374,0.1,-0.6074,0.6074
2012Q3,0.0995,0.0309,0.0888,0.4375,0.3689,0.4268,0.338,-0.010699999999999987,0.010699999999999987
2012Q4,-0.0606,0.0424,-0.1257,0.5654,0.6684,0.5003,0.626,-0.06510000000000005,0.06510000000000005
2013Q1,-0.5333,0.1244,0.1562,-0.5653,0.0924,0.1242,-0.032,0.6895,0.6895
2013Q2,0.2963,-0.2611,0.3573,0.4303,-0.1271,0.4913,0.134,0.061,0.061
2013Q3,0.7369,0.0872,0.3222,0.4199,-0.2298,0.0052,-0.317,-0.4147,0.4147
2013Q4,-1.0836,-0.6012,-0.0104,-0.4986,-0.0162,0.5746,0.585,1.0732,1.0732
2014Q1,-0.3035,0.7792,0.0731,0.4295,1.5122,0.8061,0.733,0.37660000000000005,0.37660000000000005
2014Q2,0.3446,-0.7912,0.2249,0.4986,-0.6372,0.3789,0.154,-0.11969999999999997,0.11969999999999997
2014Q3,-1.4466,-0.4533,0.0983,-1.0656,-0.0723,0.4793,0.381,1.5449000000000002,1.5449000000000002
2014Q4,0.4803,-0.3565,0.5016,1.0793,0.2425,1.1006,0.599,0.021300000000000097,0.021300000000000097
2015Q1,-0.5676,-0.8452,-0.0026,-0.5336,-0.8112,0.0314,0.034,0.565,0.565
2015Q2,-0.5328,0.4122,-0.1214,-0.3818,0.5632,0.0296,0.151,0.4114,0.4114
