model,RW,AR1,DFM-ifoCAST,DFM-EN,DFM-PLS,DFM-BlockBalanced,DFM-TVP,DFM-SV-k2,combo_equal,XGB-Full,MLP-Factor
RW,,0.0336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR1,0.0336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DFM-ifoCAST,0.0,0.0,,0.7966,0.3393,0.418,0.0742,0.0052,0.1785,0.2044,0.4095
DFM-EN,0.0,0.0,0.7966,,0.2062,0.6766,0.1314,0.0444,0.3233,0.1228,0.3771
DFM-PLS,0.0,0.0,0.3393,0.2062,,0.1279,0.0192,0.0042,0.0519,0.8251,0.8918
DFM-BlockBalanced,0.0,0.0,0.418,0.6766,0.1279,,0.1847,0.057,0.5094,0.0577,0.1232
DFM-TVP,0.0,0.0,0.0742,0.1314,0.0192,0.1847,,0.4484,0.6352,0.0032,0.0399
DFM-SV-k2,0.0,0.0,0.0052,0.0444,0.0042,0.057,0.4484,,0.296,0.0005,0.0129
combo_equal,0.0,0.0,0.1785,0.3233,0.0519,0.5094,0.6352,0.296,,0.0288,0.0985
XGB-Full,0.0,0.0,0.2044,0.1228,0.8251,0.0577,0.0032,0.0005,0.0288,,0.7357
MLP-Factor,0.0,0.0,0.4095,0.3771,0.8918,0.1232,0.0399,0.0129,0.0985,0.7357,
