record_type,quarter,date,origin,n_indicators,factor,category,share,rank,id,name,loading,abs_loading
category,2011Q1,2011-03-31,2011-05,30,1,Production,0.0583,,,,,
category,2011Q1,2011-03-31,2011-05,52,1,Turnover,0.2151,,,,,
category,2011Q1,2011-03-31,2011-05,21,1,Orders,0.0542,,,,,
category,2011Q1,2011-03-31,2011-05,45,1,Surveys,0.021,,,,,
category,2011Q1,2011-03-31,2011-05,33,1,Trade,0.4667,,,,,
category,2011Q1,2011-03-31,2011-05,35,1,Global,0.1557,,,,,
category,2011Q1,2011-03-31,2011-05,36,1,Misc,0.0289,,,,,
category,2011Q1,2011-03-31,2011-05,22,2,Production,0.0042,,,,,
category,2011Q1,2011-03-31,2011-05,58,2,Turnover,0.5065,,,,,
category,2011Q1,2011-03-31,2011-05,53,2,Orders,0.0849,,,,,
category,2011Q1,2011-03-31,2011-05,30,2,Surveys,0.0919,,,,,
category,2011Q1,2011-03-31,2011-05,23,2,Trade,0.1822,,,,,
category,2011Q1,2011-03-31,2011-05,54,2,Global,0.0496,,,,,
category,2011Q1,2011-03-31,2011-05,29,2,Misc,0.0808,,,,,
category,2011Q2,2011-06-30,2011-08,45,1,Production,0.3096,,,,,
category,2011Q2,2011-06-30,2011-08,47,1,Turnover,0.1379,,,,,
category,2011Q2,2011-06-30,2011-08,31,1,Orders,0.169,,,,,
category,2011Q2,2011-06-30,2011-08,22,1,Surveys,0.2553,,,,,
category,2011Q2,2011-06-30,2011-08,26,1,Trade,0.0134,,,,,
category,2011Q2,2011-06-30,2011-08,37,1,Global,0.0572,,,,,
category,2011Q2,2011-06-30,2011-08,22,1,Misc,0.0575,,,,,
category,2011Q2,2011-06-30,2011-08,44,2,Production,0.0882,,,,,
category,2011Q2,2011-06-30,2011-08,22,2,Turnover,0.3006,,,,,
category,2011Q2,2011-06-30,2011-08,37,2,Orders,0.273,,,,,
category,2011Q2,2011-06-30,2011-08,53,2,Surveys,0.0355,,,,,
category,2011Q2,2011-06-30,2011-08,50,2,Trade,0.1423,,,,,
category,2011Q2,2011-06-30,2011-08,26,2,Global,0.1187,,,,,
category,2011Q2,2011-06-30,2011-08,54,2,Misc,0.0417,,,,,
category,2011Q3,2011-09-30,2011-11,24,1,Production,0.1096,,,,,
category,2011Q3,2011-09-30,2011-11,27,1,Turnover,0.0653,,,,,
category,2011Q3,2011-09-30,2011-11,43,1,Orders,0.4924,,,,,
category,2011Q3,2011-09-30,2011-11,46,1,Surveys,0.0058,,,,,
category,2011Q3,2011-09-30,2011-11,48,1,Trade,0.2101,,,,,
category,2011Q3,2011-09-30,2011-11,21,1,Global,0.0748,,,,,
category,2011Q3,2011-09-30,2011-11,48,1,Misc,0.042,,,,,
category,2011Q3,2011-09-30,2011-11,54,2,Production,0.2378,,,,,
category,2011Q3,2011-09-30,2011-11,50,2,Turnover,0.0387,,,,,
category,2011Q3,2011-09-30,2011-11,27,2,Orders,0.2852,,,,,
category,2011Q3,2011-09-30,2011-11,46,2,Surveys,0.1965,,,,,
category,2011Q3,2011-09-30,2011-11,36,2,Trade,0.1408,,,,,
category,2011Q3,2011-09-30,2011-11,31,2,Global,0.097,,,,,
category,2011Q3,2011-09-30,2011-11,56,2,Misc,0.0039,,,,,
category,2011Q4,2011-12-31,2011-14,21,1,Production,0.0219,,,,,
category,2011Q4,2011-12-31,2011-14,23,1,Turnover,0.1103,,,,,
category,2011Q4,2011-12-31,2011-14,59,1,Orders,0.0475,,,,,
category,2011Q4,2011-12-31,2011-14,32,1,Surveys,0.2577,,,,,
category,2011Q4,2011-12-31,2011-14,36,1,Trade,0.1111,,,,,
category,2011Q4,2011-12-31,2011-14,25,1,Global,0.0532,,,,,
category,2011Q4,2011-12-31,2011-14,41,1,Misc,0.3984,,,,,
category,2011Q4,2011-12-31,2011-14,23,2,Production,0.2172,,,,,
category,2011Q4,2011-12-31,2011-14,31,2,Turnover,0.1837,,,,,
category,2011Q4,2011-12-31,2011-14,28,2,Orders,0.0315,,,,,
category,2011Q4,2011-12-31,2011-14,56,2,Surveys,0.1617,,,,,
category,2011Q4,2011-12-31,2011-14,34,2,Trade,0.3868,,,,,
category,2011Q4,2011-12-31,2011-14,39,2,Global,0.0056,,,,,
category,2011Q4,2011-12-31,2011-14,31,2,Misc,0.0135,,,,,
category,2012Q1,2012-03-31,2012-05,35,1,Production,0.2448,,,,,
category,2012Q1,2012-03-31,2012-05,47,1,Turnover,0.004,,,,,
category,2012Q1,2012-03-31,2012-05,49,1,Orders,0.0137,,,,,
category,2012Q1,2012-03-31,2012-05,28,1,Surveys,0.0095,,,,,
category,2012Q1,2012-03-31,2012-05,22,1,Trade,0.3926,,,,,
category,2012Q1,2012-03-31,2012-05,53,1,Global,0.219,,,,,
