model,regime,month_in_quarter,n,bias,bias_sq,variance,RMSFE,bias_sq_share_pct
DFM-ifoCAST,pre-COVID,1,36,-0.0985,0.0097,1.2859,1.1382,0.75
DFM-ifoCAST,pre-COVID,2,36,-0.0535,0.0029,0.2376,0.4904,1.19
DFM-ifoCAST,pre-COVID,3,36,-0.02,0.0004,0.0685,0.2626,0.58
DFM-ifoCAST,COVID,1,8,0.109,0.0119,0.8281,0.9165,1.41
DFM-ifoCAST,COVID,2,8,-0.1058,0.0112,0.2516,0.5126,4.26
DFM-ifoCAST,COVID,3,8,0.1553,0.0241,0.0736,0.3125,24.69
DFM-ifoCAST,post-COVID,1,16,-0.0281,0.0008,0.4135,0.6436,0.19
DFM-ifoCAST,post-COVID,2,16,0.0787,0.0062,0.2158,0.4711,2.79
DFM-ifoCAST,post-COVID,3,16,-0.0458,0.0021,0.0575,0.2442,3.51
DFM-EN,pre-COVID,1,36,0.0176,0.0003,0.6144,0.784,0.05
DFM-EN,pre-COVID,2,36,-0.079,0.0062,0.1605,0.4084,3.74
DFM-EN,pre-COVID,3,36,-0.0158,0.0002,0.0573,0.2399,0.43
DFM-EN,COVID,1,8,-0.166,0.0276,0.5039,0.729,5.18
DFM-EN,COVID,2,8,-0.1859,0.0346,0.098,0.3641,26.07
DFM-EN,COVID,3,8,-0.1026,0.0105,0.0814,0.3032,11.45
DFM-EN,post-COVID,1,16,-0.4299,0.1848,0.6959,0.9385,20.98
DFM-EN,post-COVID,2,16,0.1658,0.0275,0.2326,0.51,10.57
DFM-EN,post-COVID,3,16,-0.05,0.0025,0.0698,0.2689,3.46
DFM-PLS,pre-COVID,1,36,-0.3397,0.1154,1.0363,1.0732,10.02
DFM-PLS,pre-COVID,2,36,-0.177,0.0313,0.3117,0.5857,9.14
DFM-PLS,pre-COVID,3,36,-0.0043,0.0,0.0884,0.2974,0.02
DFM-PLS,COVID,1,8,-0.1632,0.0266,2.0123,1.4279,1.31
DFM-PLS,COVID,2,8,-0.1497,0.0224,0.0938,0.3409,19.29
DFM-PLS,COVID,3,8,-0.0584,0.0034,0.1298,0.365,2.56
DFM-PLS,post-COVID,1,16,-0.0206,0.0004,0.6882,0.8298,0.06
DFM-PLS,post-COVID,2,16,-0.0505,0.0026,0.3707,0.6109,0.68
DFM-PLS,post-COVID,3,16,0.0924,0.0085,0.06,0.2618,12.46
DFM-BlockBalanced,pre-COVID,1,36,0.022,0.0005,0.4276,0.6543,0.11
DFM-BlockBalanced,pre-COVID,2,36,-0.1218,0.0148,0.1855,0.4476,7.41
DFM-BlockBalanced,pre-COVID,3,36,0.0181,0.0003,0.0615,0.2487,0.53
DFM-BlockBalanced,COVID,1,8,0.02,0.0004,0.9625,0.9813,0.04
DFM-BlockBalanced,COVID,2,8,0.0606,0.0037,0.4172,0.6487,0.87
DFM-BlockBalanced,COVID,3,8,-0.0306,0.0009,0.0584,0.2436,1.58
DFM-BlockBalanced,post-COVID,1,16,0.0049,0.0,0.7393,0.8599,0.0
DFM-BlockBalanced,post-COVID,2,16,-0.196,0.0384,0.1894,0.4773,16.86
DFM-BlockBalanced,post-COVID,3,16,-0.0103,0.0001,0.0561,0.2372,0.19
DFM-TVP,pre-COVID,1,36,0.0367,0.0013,0.7594,0.8722,0.18
DFM-TVP,pre-COVID,2,36,0.023,0.0005,0.1735,0.4172,0.3
DFM-TVP,pre-COVID,3,36,0.0255,0.0006,0.0469,0.2181,1.37
DFM-TVP,COVID,1,8,-0.6742,0.4545,0.4264,0.9386,51.6
DFM-TVP,COVID,2,8,0.1122,0.0126,0.0787,0.3021,13.79
DFM-TVP,COVID,3,8,0.0753,0.0057,0.0373,0.2072,13.22
DFM-TVP,post-COVID,1,16,0.061,0.0037,0.7465,0.8661,0.5
DFM-TVP,post-COVID,2,16,0.2091,0.0437,0.3942,0.6618,9.98
DFM-TVP,post-COVID,3,16,-0.0243,0.0006,0.0415,0.2052,1.4
DFM-SV-k2,pre-COVID,1,36,0.0007,0.0,0.9889,0.9945,0.0
DFM-SV-k2,pre-COVID,2,36,0.1064,0.0113,0.1879,0.4463,5.68
DFM-SV-k2,pre-COVID,3,36,-0.0121,0.0001,0.0421,0.2056,0.35
DFM-SV-k2,COVID,1,8,-0.1873,0.0351,0.3406,0.6129,9.34
DFM-SV-k2,COVID,2,8,-0.1906,0.0363,0.1462,0.4272,19.9
DFM-SV-k2,COVID,3,8,-0.0819,0.0067,0.0576,0.2536,10.44
DFM-SV-k2,post-COVID,1,16,0.1228,0.0151,0.3459,0.6008,4.18
DFM-SV-k2,post-COVID,2,16,0.0185,0.0003,0.0822,0.2873,0.41
DFM-SV-k2,post-COVID,3,16,0.0106,0.0001,0.0125,0.1122,0.9
combo_equal,pre-COVID,1,36,-0.039,0.0015,0.6668,0.8175,0.23
combo_equal,pre-COVID,2,36,0.0585,0.0034,0.086,0.2991,3.83
combo_equal,pre-COVID,3,36,-0.0083,0.0001,0.0428,0.2071,0.16
combo_equal,COVID,1,8,-0.1954,0.0382,0.3725,0.6409,9.3
combo_equal,COVID,2,8,-0.017,0.0003,0.1383,0.3723,0.21
combo_equal,COVID,3,8,-0.0358,0.0013,0.0217,0.1514,5.59
combo_equal,post-COVID,1,16,-0.0394,0.0016,0.9939,0.9977,0.16
combo_equal,post-COVID,2,16,0.1469,0.0216,0.1969,0.4674,9.88
combo_equal,post-COVID,3,16,0.0384,0.0015,0.0815,0.2881,1.78
XGB-Full,pre-COVID,1,36,0.0547,0.003,1.0549,1.0286,0.28
XGB-Full,pre-COVID,2,36,-0.0512,0.0026,0.3417,0.5868,0.76
XGB-Full,pre-COVID,3,36,-0.0299,0.0009,0.102,0.3207,0.87
XGB-Full,COVID,1,8,0.0807,0.0065,1.264,1.1272,0.51
XGB-Full,COVID,2,8,0.5885,0.3463,0.6616,1.0039,34.36
XGB-Full,COVID,3,8,0.0205,0.0004,0.0994,0.316,0.42
XGB-Full,post-COVID,1,16,0.3013,0.0908,0.7155,0.8979,11.26
XGB-Full,post-COVID,2,16,0.172,0.0296,0.2313,0.5107,11.34
XGB-Full,post-COVID,3,16,0.0247,0.0006,0.0697,0.2651,0.87
MLP-Factor,pre-COVID,1,36,-0.2216,0.0491,0.8223,0.9335,5.64
MLP-Factor,pre-COVID,2,36,-0.0545,0.003,0.2376,0.4905,1.23
MLP-Factor,pre-COVID,3,36,0.0267,0.0007,0.1097,0.3323,0.65
MLP-Factor,COVID,1,8,-0.0698,0.0049,0.3857,0.6249,1.25
MLP-Factor,COVID,2,8,-0.0673,0.0045,0.1439,0.3852,3.05
MLP-Factor,COVID,3,8,-0.0714,0.0051,0.0588,0.2527,7.98
MLP-Factor,post-COVID,1,16,-0.4033,0.1627,0.6522,0.9027,19.96
MLP-Factor,post-COVID,2,16,0.0214,0.0005,0.4219,0.6499,0.11
MLP-Factor,post-COVID,3,16,-0.0179,0.0003,0.0411,0.2035,0.77
