model,regime,month_in_quarter,RMSFE
DFM-ifoCAST,pre-COVID,1,1.1382
DFM-ifoCAST,pre-COVID,2,0.4904
DFM-ifoCAST,pre-COVID,3,0.2626
DFM-ifoCAST,COVID,1,0.9165
DFM-ifoCAST,COVID,2,0.5126
DFM-ifoCAST,COVID,3,0.3125
DFM-ifoCAST,post-COVID,1,0.6436
DFM-ifoCAST,post-COVID,2,0.4711
DFM-ifoCAST,post-COVID,3,0.2442
DFM-EN,pre-COVID,1,0.784
DFM-EN,pre-COVID,2,0.4084
DFM-EN,pre-COVID,3,0.2399
DFM-EN,COVID,1,0.729
DFM-EN,COVID,2,0.3641
DFM-EN,COVID,3,0.3032
DFM-EN,post-COVID,1,0.9385
DFM-EN,post-COVID,2,0.51
DFM-EN,post-COVID,3,0.2689
DFM-PLS,pre-COVID,1,1.0732
DFM-PLS,pre-COVID,2,0.5857
DFM-PLS,pre-COVID,3,0.2974
DFM-PLS,COVID,1,1.4279
DFM-PLS,COVID,2,0.3409
DFM-PLS,COVID,3,0.365
DFM-PLS,post-COVID,1,0.8298
DFM-PLS,post-COVID,2,0.6109
DFM-PLS,post-COVID,3,0.2618
DFM-BlockBalanced,pre-COVID,1,0.6543
DFM-BlockBalanced,pre-COVID,2,0.4476
DFM-BlockBalanced,pre-COVID,3,0.2487
DFM-BlockBalanced,COVID,1,0.9813
DFM-BlockBalanced,COVID,2,0.6487
DFM-BlockBalanced,COVID,3,0.2436
DFM-BlockBalanced,post-COVID,1,0.8599
DFM-BlockBalanced,post-COVID,2,0.4773
DFM-BlockBalanced,post-COVID,3,0.2372
DFM-TVP,pre-COVID,1,0.8722
DFM-TVP,pre-COVID,2,0.4172
DFM-TVP,pre-COVID,3,0.2181
DFM-TVP,COVID,1,0.9386
DFM-TVP,COVID,2,0.3021
DFM-TVP,COVID,3,0.2072
DFM-TVP,post-COVID,1,0.8661
DFM-TVP,post-COVID,2,0.6618
DFM-TVP,post-COVID,3,0.2052
DFM-SV-k2,pre-COVID,1,0.9945
DFM-SV-k2,pre-COVID,2,0.4463
DFM-SV-k2,pre-COVID,3,0.2056
DFM-SV-k2,COVID,1,0.6129
DFM-SV-k2,COVID,2,0.4272
DFM-SV-k2,COVID,3,0.2536
DFM-SV-k2,post-COVID,1,0.6008
DFM-SV-k2,post-COVID,2,0.2873
DFM-SV-k2,post-COVID,3,0.1122
combo_equal,pre-COVID,1,0.8175
combo_equal,pre-COVID,2,0.2991
combo_equal,pre-COVID,3,0.2071
combo_equal,COVID,1,0.6409
combo_equal,COVID,2,0.3723
combo_equal,COVID,3,0.1514
combo_equal,post-COVID,1,0.9977
combo_equal,post-COVID,2,0.4674
combo_equal,post-COVID,3,0.2881
XGB-Full,pre-COVID,1,1.0286
XGB-Full,pre-COVID,2,0.5868
XGB-Full,pre-COVID,3,0.3207
XGB-Full,COVID,1,1.1272
XGB-Full,COVID,2,1.0039
XGB-Full,COVID,3,0.316
XGB-Full,post-COVID,1,0.8979
XGB-Full,post-COVID,2,0.5107
XGB-Full,post-COVID,3,0.2651
MLP-Factor,pre-COVID,1,0.9335
MLP-Factor,pre-COVID,2,0.4905
MLP-Factor,pre-COVID,3,0.3323
MLP-Factor,COVID,1,0.6249
MLP-Factor,COVID,2,0.3852
MLP-Factor,COVID,3,0.2527
MLP-Factor,post-COVID,1,0.9027
MLP-Factor,post-COVID,2,0.6499
MLP-Factor,post-COVID,3,0.2035
