model,alpha,beta,se_alpha,se_beta,p_alpha_zero,p_joint_H0_a0_b1,n
RW,0.114,0.5367,0.1355,0.0521,0.4038,0.0,60
AR1,0.0423,0.7491,0.1399,0.0759,0.7633,0.0016,60
DFM-ifoCAST,0.0002,1.0178,0.0348,0.0205,0.9954,0.391,60
DFM-EN,0.04,0.9766,0.0331,0.0188,0.2313,0.2174,60
DFM-PLS,-0.0132,0.9948,0.0394,0.0228,0.7385,0.819,60
DFM-BlockBalanced,-0.0016,0.9872,0.0322,0.0184,0.9606,0.49,60
DFM-TVP,-0.02,1.0056,0.0281,0.0163,0.4785,0.732,60
DFM-SV-k2,0.0169,0.9912,0.0253,0.0145,0.5081,0.5444,60
combo_equal,0.0039,0.9769,0.0293,0.0166,0.895,0.1686,60
XGB-Full,0.0184,0.9453,0.0382,0.021,0.6317,0.0118,60
MLP-Factor,0.0051,0.9641,0.0378,0.0212,0.8932,0.0953,60
