model,n,RMSFE,mean_loss,MCS_p_value,in_MCS
DFM-SV-k2,60,0.19310797799849355,0.037290691166666674,1.0,True
DFM-TVP,60,0.21327626098560526,0.045486763500000006,0.922,True
combo_equal,60,0.2256437461279764,0.05091510016666667,0.844,True
DFM-BlockBalanced,60,0.24498314703941032,0.06001674233333334,0.766,True
DFM-EN,60,0.25705094015259566,0.06607518583333333,0.688,True
DFM-ifoCAST,60,0.26513223367469546,0.07029510133333333,0.61,True
MLP-Factor,60,0.2929093116193702,0.08579586483333333,0.532,True
DFM-PLS,60,0.2985144329285716,0.08911086666666666,0.45399999999999996,True
XGB-Full,60,0.3062239539944581,0.09377311,0.376,True
AR1,60,1.1551284971090157,1.3343218448333334,0.29800000000000004,True
RW,60,1.585432367736532,2.5135957926666666,0.22,True
