monthly_origin,month_in_quarter,quarter,nowcast,actual,error
2011-03,1,2011Q1,2.0989,1.367,0.7319
2011-04,2,2011Q1,1.2617,1.367,-0.1053
2011-05,3,2011Q1,1.526,1.367,0.159
2011-06,1,2011Q2,-0.1309,0.181,-0.3119
2011-07,2,2011Q2,0.0597,0.181,-0.1213
2011-08,3,2011Q2,0.1452,0.181,-0.0358
2011-09,1,2011Q3,0.222,0.478,-0.256
2011-10,2,2011Q3,0.4605,0.478,-0.0175
2011-11,3,2011Q3,0.3451,0.478,-0.1329
2011-12,1,2011Q4,-0.1578,0.733,-0.8908
2011-13,2,2011Q4,0.681,0.733,-0.052
2011-14,3,2011Q4,0.8906,0.733,0.1576
2012-03,1,2012Q1,1.0416,0.901,0.1406
2012-04,2,2012Q1,1.0336,0.901,0.1326
2012-05,3,2012Q1,0.8406,0.901,-0.0604
2012-06,1,2012Q2,1.0295,0.1,0.9295
2012-07,2,2012Q2,0.4837,0.1,0.3837
2012-08,3,2012Q2,0.3277,0.1,0.2277
2012-09,1,2012Q3,2.0652,0.338,1.7272
2012-10,2,2012Q3,0.7509,0.338,0.4129
2012-11,3,2012Q3,0.2072,0.338,-0.1308
2012-12,1,2012Q4,-0.1847,0.626,-0.8107
2012-13,2,2012Q4,0.8122,0.626,0.1862
2012-14,3,2012Q4,0.4527,0.626,-0.1733
2013-03,1,2013Q1,0.1568,-0.032,0.1888
2013-04,2,2013Q1,0.1226,-0.032,0.1546
2013-05,3,2013Q1,-0.2271,-0.032,-0.1951
2013-06,1,2013Q2,0.1025,0.134,-0.0315
2013-07,2,2013Q2,-0.2286,0.134,-0.3626
2013-08,3,2013Q2,-0.0132,0.134,-0.1472
2013-09,1,2013Q3,-0.5639,-0.317,-0.2469
2013-10,2,2013Q3,-0.4228,-0.317,-0.1058
2013-11,3,2013Q3,0.1843,-0.317,0.5013
2013-12,1,2013Q4,-1.1675,0.585,-1.7525
2013-13,2,2013Q4,0.5771,0.585,-0.0079
2013-14,3,2013Q4,0.8687,0.585,0.2837
2014-03,1,2014Q1,1.1524,0.733,0.4194
2014-04,2,2014Q1,1.4207,0.733,0.6877
2014-05,3,2014Q1,0.5515,0.733,-0.1815
2014-06,1,2014Q2,0.2058,0.154,0.0518
2014-07,2,2014Q2,-0.1579,0.154,-0.3119
2014-08,3,2014Q2,0.1598,0.154,0.0058
2014-09,1,2014Q3,0.58,0.381,0.199
2014-10,2,2014Q3,0.0395,0.381,-0.3415
2014-11,3,2014Q3,0.6037,0.381,0.2227
2014-12,1,2014Q4,-0.2156,0.599,-0.8146
2014-13,2,2014Q4,0.8627,0.599,0.2637
2014-14,3,2014Q4,0.6318,0.599,0.0328
2015-03,1,2015Q1,0.5687,0.034,0.5347
2015-04,2,2015Q1,0.1494,0.034,0.1154
2015-05,3,2015Q1,0.0815,0.034,0.0475
2015-06,1,2015Q2,-0.654,0.151,-0.805
2015-07,2,2015Q2,0.2584,0.151,0.1074
2015-08,3,2015Q2,0.0655,0.151,-0.0855
2015-09,1,2015Q3,-0.4817,0.045,-0.5267
2015-10,2,2015Q3,0.0029,0.045,-0.0421
2015-11,3,2015Q3,-0.1717,0.045,-0.2167
2015-12,1,2015Q4,-0.455,0.42,-0.875
2015-13,2,2015Q4,0.1951,0.42,-0.2249
2015-14,3,2015Q4,0.271,0.42,-0.149
2016-03,1,2016Q1,0.306,-0.032,0.338
2016-04,2,2016Q1,0.2131,-0.032,0.2451
2016-05,3,2016Q1,-0.0094,-0.032,0.0226
2016-06,1,2016Q2,-0.391,-0.684,0.293
2016-07,2,2016Q2,-1.079,-0.684,-0.395
2016-08,3,2016Q2,-0.4899,-0.684,0.1941
2016-09,1,2016Q3,0.9386,0.025,0.9136
2016-10,2,2016Q3,0.2706,0.025,0.2456
2016-11,3,2016Q3,-0.1031,0.025,-0.1281
2016-12,1,2016Q4,-0.1924,0.593,-0.7854
2016-13,2,2016Q4,0.6848,0.593,0.0918
2016-14,3,2016Q4,0.8132,0.593,0.2202
2017-03,1,2017Q1,-0.2936,-0.07,-0.2236
2017-04,2,2017Q1,0.3007,-0.07,0.3707
2017-05,3,2017Q1,0.227,-0.07,0.297
2017-06,1,2017Q2,2.282,0.767,1.515
2017-07,2,2017Q2,0.6612,0.767,-0.1058
2017-08,3,2017Q2,0.7006,0.767,-0.0664
2017-09,1,2017Q3,-0.2416,0.02,-0.2616
2017-10,2,2017Q3,0.0377,0.02,0.0177
2017-11,3,2017Q3,-0.2061,0.02,-0.2261
2017-12,1,2017Q4,0.6271,-0.362,0.9891
2017-13,2,2017Q4,-0.5213,-0.362,-0.1593
2017-14,3,2017Q4,-0.4387,-0.362,-0.0767
2018-03,1,2018Q1,-0.4011,0.016,-0.4171
2018-04,2,2018Q1,-0.4352,0.016,-0.4512
2018-05,3,2018Q1,-0.3605,0.016,-0.3765
2018-06,1,2018Q2,-0.6852,0.267,-0.9522
2018-07,2,2018Q2,-0.1635,0.267,-0.4305
2018-08,3,2018Q2,0.2643,0.267,-0.0027
2018-09,1,2018Q3,0.1301,0.538,-0.4079
2018-10,2,2018Q3,0.6036,0.538,0.0656
2018-11,3,2018Q3,0.3306,0.538,-0.2074
2018-12,1,2018Q4,-0.4116,-0.317,-0.0946
2018-13,2,2018Q4,0.3149,-0.317,0.6319
2018-14,3,2018Q4,0.0487,-0.317,0.3657
2019-03,1,2019Q1,-0.5284,-0.187,-0.3414
2019-04,2,2019Q1,-0.1806,-0.187,0.0064
2019-05,3,2019Q1,-0.237,-0.187,-0.05
2019-06,1,2019Q2,0.3399,-0.036,0.3759
2019-07,2,2019Q2,0.5231,-0.036,0.5591
2019-08,3,2019Q2,-0.4402,-0.036,-0.4042
2019-09,1,2019Q3,2.2973,0.619,1.6783
2019-10,2,2019Q3,1.0868,0.619,0.4678
2019-11,3,2019Q3,0.8248,0.619,0.2058
2019-12,1,2019Q4,-1.4289,0.196,-1.6249
2019-13,2,2019Q4,0.3913,0.196,0.1953
2019-14,3,2019Q4,-0.0006,0.196,-0.1966
2020-03,1,2020Q1,-2.7617,-2.0,-0.7617
2020-04,2,2020Q1,-2.0256,-2.0,-0.0256
2020-05,3,2020Q1,-1.9853,-2.0,0.0147
2020-06,1,2020Q2,-9.2278,-9.5,0.2722
2020-07,2,2020Q2,-9.4632,-9.5,0.0368
2020-08,3,2020Q2,-9.7322,-9.5,-0.2322
2020-09,1,2020Q3,8.771,8.7,0.071
2020-10,2,2020Q3,9.0286,8.7,0.3286
2020-11,3,2020Q3,8.5608,8.7,-0.1392
2020-12,1,2020Q4,-0.1083,0.6,-0.7083
2020-13,2,2020Q4,0.8655,0.6,0.2655
2020-14,3,2020Q4,0.5933,0.6,-0.0067
2021-03,1,2021Q1,0.2295,0.121,0.1085
2021-04,2,2021Q1,0.5409,0.121,0.4199
2021-05,3,2021Q1,0.0973,0.121,-0.0237
2021-06,1,2021Q2,0.1621,-0.0,0.1621
2021-07,2,2021Q2,-0.5481,-0.0,-0.5481
2021-08,3,2021Q2,0.2954,-0.0,0.2954
2021-09,1,2021Q3,-0.2679,1.044,-1.3119
2021-10,2,2021Q3,0.3745,1.044,-0.6695
2021-11,3,2021Q3,0.9863,1.044,-0.0577
2021-12,1,2021Q4,0.8006,0.196,0.6046
2021-13,2,2021Q4,0.2524,0.196,0.0564
2021-14,3,2021Q4,0.0591,0.196,-0.1369
2022-03,1,2022Q1,-1.6742,-0.052,-1.6222
2022-04,2,2022Q1,0.2386,-0.052,0.2906
2022-05,3,2022Q1,0.2346,-0.052,0.2866
2022-06,1,2022Q2,1.7085,0.937,0.7715
2022-07,2,2022Q2,0.3242,0.937,-0.6128
2022-08,3,2022Q2,1.4039,0.937,0.4669
2022-09,1,2022Q3,-0.5735,-0.225,-0.3485
2022-10,2,2022Q3,0.2509,-0.225,0.4759
2022-11,3,2022Q3,-0.0635,-0.225,0.1615
2022-12,1,2022Q4,0.4833,-0.041,0.5243
2022-13,2,2022Q4,-0.4587,-0.041,-0.4177
2022-14,3,2022Q4,0.084,-0.041,0.125
2023-03,1,2023Q1,1.2932,-0.243,1.5362
2023-04,2,2023Q1,-0.4636,-0.243,-0.2206
2023-05,3,2023Q1,-0.2008,-0.243,0.0422
2023-06,1,2023Q2,-0.1301,0.276,-0.4061
2023-07,2,2023Q2,0.6337,0.276,0.3577
2023-08,3,2023Q2,0.6733,0.276,0.3973
2023-09,1,2023Q3,-1.3954,0.25,-1.6454
2023-10,2,2023Q3,0.3102,0.25,0.0602
2023-11,3,2023Q3,0.1205,0.25,-0.1295
2023-12,1,2023Q4,0.4149,0.655,-0.2401
2023-13,2,2023Q4,1.1409,0.655,0.4859
2023-14,3,2023Q4,1.0179,0.655,0.3629
2024-03,1,2024Q1,0.864,0.921,-0.057
2024-04,2,2024Q1,1.1698,0.921,0.2488
2024-05,3,2024Q1,0.5528,0.921,-0.3682
2024-06,1,2024Q2,0.2762,-0.215,0.4912
2024-07,2,2024Q2,1.0829,-0.215,1.2979
2024-08,3,2024Q2,-0.4255,-0.215,-0.2105
2024-09,1,2024Q3,-0.3239,0.324,-0.6479
2024-10,2,2024Q3,0.3697,0.324,0.0457
2024-11,3,2024Q3,0.3285,0.324,0.0045
2024-12,1,2024Q4,-0.814,0.469,-1.283
2024-13,2,2024Q4,0.9093,0.469,0.4403
2024-14,3,2024Q4,0.3837,0.469,-0.0853
2025-03,1,2025Q1,1.7577,0.229,1.5287
2025-04,2,2025Q1,0.2196,0.229,-0.0094
2025-05,3,2025Q1,0.251,0.229,0.022
2025-06,1,2025Q2,0.6428,0.084,0.5588
2025-07,2,2025Q2,-0.1279,0.084,-0.2119
2025-08,3,2025Q2,0.2449,0.084,0.1609
2025-09,1,2025Q3,-1.2086,-0.305,-0.9036
2025-10,2,2025Q3,-0.5793,-0.305,-0.2743
2025-11,3,2025Q3,-0.984,-0.305,-0.679
2025-12,1,2025Q4,1.2359,0.123,1.1129
2025-13,2,2025Q4,0.5172,0.123,0.3942
2025-14,3,2025Q4,0.1799,0.123,0.0569
