monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2011-03,2011Q1,1,58,2,0.9466,1.367,-0.4204
2011-04,2011Q1,2,33,2,1.5337,1.367,0.1667
2011-05,2011Q1,3,59,2,1.0405,1.367,-0.3265
2011-06,2011Q2,1,46,2,0.4989,0.181,0.3179
2011-07,2011Q2,2,55,2,0.4471,0.181,0.2661
2011-08,2011Q2,3,26,2,0.2018,0.181,0.0208
2011-09,2011Q3,1,54,2,3.0109,0.478,2.5329
2011-10,2011Q3,2,35,2,0.8392,0.478,0.3612
2011-11,2011Q3,3,44,2,0.2647,0.478,-0.2133
2011-12,2011Q4,1,47,2,2.0779,0.733,1.3449
2011-13,2011Q4,2,42,2,0.5573,0.733,-0.1757
2011-14,2011Q4,3,57,2,0.5793,0.733,-0.1537
2012-03,2012Q1,1,35,2,0.8569,0.901,-0.0441
2012-04,2012Q1,2,29,2,0.8696,0.901,-0.0314
2012-05,2012Q1,3,54,2,0.9865,0.901,0.0855
2012-06,2012Q2,1,22,2,0.6448,0.1,0.5448
2012-07,2012Q2,2,45,2,0.348,0.1,0.248
2012-08,2012Q2,3,47,2,0.0374,0.1,-0.0626
2012-09,2012Q3,1,47,2,0.4375,0.338,0.0995
2012-10,2012Q3,2,38,2,0.3689,0.338,0.0309
2012-11,2012Q3,3,48,2,0.4268,0.338,0.0888
2012-12,2012Q4,1,22,2,0.5654,0.626,-0.0606
2012-13,2012Q4,2,54,2,0.6684,0.626,0.0424
2012-14,2012Q4,3,23,2,0.5003,0.626,-0.1257
2013-03,2013Q1,1,28,2,-0.5653,-0.032,-0.5333
2013-04,2013Q1,2,39,2,0.0924,-0.032,0.1244
2013-05,2013Q1,3,50,2,0.1242,-0.032,0.1562
2013-06,2013Q2,1,40,2,0.4303,0.134,0.2963
2013-07,2013Q2,2,31,2,-0.1271,0.134,-0.2611
2013-08,2013Q2,3,40,2,0.4913,0.134,0.3573
2013-09,2013Q3,1,38,2,0.4199,-0.317,0.7369
2013-10,2013Q3,2,55,2,-0.2298,-0.317,0.0872
