monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2011-03,2011Q1,1,52,2,2.1117,1.367,0.7447
2011-04,2011Q1,2,26,2,1.0152,1.367,-0.3518
2011-05,2011Q1,3,50,2,1.2436,1.367,-0.1234
2011-06,2011Q2,1,52,2,-0.8344,0.181,-1.0154
2011-07,2011Q2,2,16,2,0.3468,0.181,0.1658
2011-08,2011Q2,3,40,2,0.0111,0.181,-0.1699
2011-09,2011Q3,1,54,2,-1.1177,0.478,-1.5957
2011-10,2011Q3,2,25,2,-0.5408,0.478,-1.0188
2011-11,2011Q3,3,53,2,0.6671,0.478,0.1891
2011-12,2011Q4,1,15,2,2.9591,0.733,2.2261
2011-13,2011Q4,2,55,2,0.8018,0.733,0.0688
2011-14,2011Q4,3,18,2,0.4695,0.733,-0.2635
2012-03,2012Q1,1,56,2,1.5269,0.901,0.6259
2012-04,2012Q1,2,53,2,0.7221,0.901,-0.1789
2012-05,2012Q1,3,54,2,1.2795,0.901,0.3785
2012-06,2012Q2,1,46,2,-0.2073,0.1,-0.3073
2012-07,2012Q2,2,42,2,0.2418,0.1,0.1418
2012-08,2012Q2,3,53,2,0.1911,0.1,0.0911
2012-09,2012Q3,1,47,2,-0.7018,0.338,-1.0398
2012-10,2012Q3,2,52,2,-0.3426,0.338,-0.6806
2012-11,2012Q3,3,52,2,0.7058,0.338,0.3678
2012-12,2012Q4,1,27,2,-0.6049,0.626,-1.2309
2012-13,2012Q4,2,17,2,-0.5723,0.626,-1.1983
2012-14,2012Q4,3,38,2,0.7358,0.626,0.1098
2013-03,2013Q1,1,17,2,0.8711,-0.032,0.9031
2013-04,2013Q1,2,36,2,0.4642,-0.032,0.4962
2013-05,2013Q1,3,18,2,0.0194,-0.032,0.0514
2013-06,2013Q2,1,56,2,-0.2255,0.134,-0.3595
2013-07,2013Q2,2,48,2,0.0861,0.134,-0.0479
2013-08,2013Q2,3,17,2,0.6686,0.134,0.5346
2013-09,2013Q3,1,50,2,0.0793,-0.317,0.3963
2013-10,2013Q3,2,52,2,-0.4594,-0.317,-0.1424
2013-11,2013Q3,3,58,2,-0.4982,-0.317,-0.1812
2013-12,2013Q4,1,35,2,0.2541,0.585,-0.3309
2013-13,2013Q4,2,28,2,0.326,0.585,-0.259
2013-14,2013Q4,3,37,2,0.6098,0.585,0.0248
2014-03,2014Q1,1,56,2,0.5078,0.733,-0.2252
2014-04,2014Q1,2,38,2,0.012,0.733,-0.721
2014-05,2014Q1,3,51,2,0.6229,0.733,-0.1101
2014-06,2014Q2,1,32,2,-1.2371,0.154,-1.3911
2014-07,2014Q2,2,56,2,0.1904,0.154,0.0364
2014-08,2014Q2,3,30,2,0.4398,0.154,0.2858
2014-09,2014Q3,1,56,2,-0.8749,0.381,-1.2559
2014-10,2014Q3,2,58,2,-0.2861,0.381,-0.6671
2014-11,2014Q3,3,30,2,0.5176,0.381,0.1366
2014-12,2014Q4,1,22,2,1.477,0.599,0.878
2014-13,2014Q4,2,28,2,0.6513,0.599,0.0523
2014-14,2014Q4,3,38,2,1.3614,0.599,0.7624
2015-03,2015Q1,1,46,2,-1.9317,0.034,-1.9657
2015-04,2015Q1,2,27,2,0.1553,0.034,0.1213
2015-05,2015Q1,3,52,2,-0.2431,0.034,-0.2771
2015-06,2015Q2,1,22,2,0.4703,0.151,0.3193
2015-07,2015Q2,2,47,2,0.3353,0.151,0.1843
2015-08,2015Q2,3,57,2,0.4924,0.151,0.3414
2015-09,2015Q3,1,46,2,-0.9644,0.045,-1.0094
2015-10,2015Q3,2,36,2,0.1934,0.045,0.1484
2015-11,2015Q3,3,22,2,-0.2089,0.045,-0.2539
2015-12,2015Q4,1,47,2,0.2323,0.42,-0.1877
2015-13,2015Q4,2,44,2,1.4588,0.42,1.0388
2015-14,2015Q4,3,41,2,0.339,0.42,-0.081
2016-03,2016Q1,1,19,2,-0.2079,-0.032,-0.1759
2016-04,2016Q1,2,44,2,-0.536,-0.032,-0.504
2016-05,2016Q1,3,48,2,-0.5056,-0.032,-0.4736
2016-06,2016Q2,1,59,2,-1.7265,-0.684,-1.0425
2016-07,2016Q2,2,40,2,-2.181,-0.684,-1.497
2016-08,2016Q2,3,55,2,-0.2583,-0.684,0.4257
2016-09,2016Q3,1,24,2,0.1932,0.025,0.1682
2016-10,2016Q3,2,42,2,0.6645,0.025,0.6395
2016-11,2016Q3,3,21,2,-0.1581,0.025,-0.1831
2016-12,2016Q4,1,19,2,1.3354,0.593,0.7424
2016-13,2016Q4,2,38,2,0.389,0.593,-0.204
2016-14,2016Q4,3,19,2,0.64,0.593,0.047
2017-03,2017Q1,1,30,2,-2.1355,-0.07,-2.0655
2017-04,2017Q1,2,23,2,-0.9145,-0.07,-0.8445
2017-05,2017Q1,3,31,2,0.0843,-0.07,0.1543
2017-06,2017Q2,1,31,2,-0.9167,0.767,-1.6837
2017-07,2017Q2,2,30,2,1.31,0.767,0.543
2017-08,2017Q2,3,51,2,0.6129,0.767,-0.1541
2017-09,2017Q3,1,52,2,-1.3602,0.02,-1.3802
2017-10,2017Q3,2,42,2,-0.3094,0.02,-0.3294
2017-11,2017Q3,3,19,2,-0.2221,0.02,-0.2421
2017-12,2017Q4,1,15,2,-0.7034,-0.362,-0.3414
2017-13,2017Q4,2,53,2,-1.4016,-0.362,-1.0396
2017-14,2017Q4,3,51,2,-0.3064,-0.362,0.0556
2018-03,2018Q1,1,28,2,0.5898,0.016,0.5738
2018-04,2018Q1,2,16,2,-0.0876,0.016,-0.1036
2018-05,2018Q1,3,38,2,-0.2838,0.016,-0.2998
2018-06,2018Q2,1,56,2,-0.2691,0.267,-0.5361
2018-07,2018Q2,2,20,2,0.4683,0.267,0.2013
2018-08,2018Q2,3,53,2,0.5718,0.267,0.3048
2018-09,2018Q3,1,44,2,0.5283,0.538,-0.0097
2018-10,2018Q3,2,41,2,0.4497,0.538,-0.0883
2018-11,2018Q3,3,28,2,0.2914,0.538,-0.2466
2018-12,2018Q4,1,35,2,0.9632,-0.317,1.2802
2018-13,2018Q4,2,19,2,-0.4076,-0.317,-0.0906
2018-14,2018Q4,3,40,2,-0.5668,-0.317,-0.2498
2019-03,2019Q1,1,55,2,0.4585,-0.187,0.6455
2019-04,2019Q1,2,15,2,0.0596,-0.187,0.2466
2019-05,2019Q1,3,18,2,-0.8248,-0.187,-0.6378
2019-06,2019Q2,1,33,2,0.5196,-0.036,0.5556
2019-07,2019Q2,2,24,2,-0.1823,-0.036,-0.1463
2019-08,2019Q2,3,53,2,-0.0431,-0.036,-0.0071
2019-09,2019Q3,1,49,2,-0.9325,0.619,-1.5515
2019-10,2019Q3,2,55,2,-0.3898,0.619,-1.0088
2019-11,2019Q3,3,21,2,0.1809,0.619,-0.4381
2019-12,2019Q4,1,52,2,-1.3909,0.196,-1.5869
2019-13,2019Q4,2,58,2,0.8601,0.196,0.6641
2019-14,2019Q4,3,47,2,0.173,0.196,-0.023
2020-03,2020Q1,1,34,2,-3.81,-2.0,-1.81
2020-04,2020Q1,2,27,2,-2.5723,-2.0,-0.5723
2020-05,2020Q1,3,50,2,-1.8276,-2.0,0.1724
2020-06,2020Q2,1,46,2,-9.3928,-9.5,0.1072
2020-07,2020Q2,2,43,2,-10.0199,-9.5,-0.5199
2020-08,2020Q2,3,51,2,-9.343,-9.5,0.157
2020-09,2020Q3,1,19,2,7.961,8.7,-0.739
2020-10,2020Q3,2,38,2,8.7979,8.7,0.0979
2020-11,2020Q3,3,54,2,8.467,8.7,-0.233
2020-12,2020Q4,1,58,2,2.6213,0.6,2.0213
2020-13,2020Q4,2,58,2,0.7279,0.6,0.1279
2020-14,2020Q4,3,26,2,-0.0084,0.6,-0.6084
2021-03,2021Q1,1,22,2,1.3939,0.121,1.2729
2021-04,2021Q1,2,33,2,0.2029,0.121,0.0819
2021-05,2021Q1,3,32,2,0.266,0.121,0.145
2021-06,2021Q2,1,54,2,-2.5128,-0.0,-2.5128
2021-07,2021Q2,2,55,2,0.264,-0.0,0.264
2021-08,2021Q2,3,39,2,0.5594,-0.0,0.5594
2021-09,2021Q3,1,38,2,0.777,1.044,-0.267
2021-10,2021Q3,2,49,2,0.6967,1.044,-0.3473
2021-11,2021Q3,3,54,2,0.5812,1.044,-0.4628
2021-12,2021Q4,1,17,2,0.8176,0.196,0.6216
2021-13,2021Q4,2,25,2,-0.1342,0.196,-0.3302
2021-14,2021Q4,3,58,2,-0.0012,0.196,-0.1972
2022-03,2022Q1,1,56,2,1.4337,-0.052,1.4857
2022-04,2022Q1,2,30,2,0.35,-0.052,0.402
2022-05,2022Q1,3,43,2,-0.0835,-0.052,-0.0315
2022-06,2022Q2,1,54,2,1.8645,0.937,0.9275
2022-07,2022Q2,2,33,2,0.6606,0.937,-0.2764
2022-08,2022Q2,3,16,2,1.5951,0.937,0.6581
2022-09,2022Q3,1,51,2,-0.678,-0.225,-0.453
2022-10,2022Q3,2,34,2,-1.2782,-0.225,-1.0532
2022-11,2022Q3,3,33,2,0.0302,-0.225,0.2552
2022-12,2022Q4,1,52,2,-1.46,-0.041,-1.419
2022-13,2022Q4,2,51,2,-1.0877,-0.041,-1.0467
2022-14,2022Q4,3,31,2,0.1816,-0.041,0.2226
2023-03,2023Q1,1,59,2,-0.4822,-0.243,-0.2392
2023-04,2023Q1,2,57,2,-0.0989,-0.243,0.1441
2023-05,2023Q1,3,20,2,-0.2251,-0.243,0.0179
2023-06,2023Q2,1,33,2,-0.4332,0.276,-0.7092
2023-07,2023Q2,2,37,2,-0.1039,0.276,-0.3799
2023-08,2023Q2,3,44,2,0.4008,0.276,0.1248
2023-09,2023Q3,1,49,2,0.8331,0.25,0.5831
2023-10,2023Q3,2,34,2,0.3925,0.25,0.1425
2023-11,2023Q3,3,57,2,0.6413,0.25,0.3913
2023-12,2023Q4,1,55,2,0.7865,0.655,0.1315
2023-13,2023Q4,2,31,2,1.5082,0.655,0.8532
2023-14,2023Q4,3,35,2,0.2368,0.655,-0.4182
2024-03,2024Q1,1,25,2,-0.2145,0.921,-1.1355
2024-04,2024Q1,2,58,2,0.389,0.921,-0.532
2024-05,2024Q1,3,49,2,0.8535,0.921,-0.0675
2024-06,2024Q2,1,28,2,-1.1004,-0.215,-0.8854
2024-07,2024Q2,2,56,2,-0.0508,-0.215,0.1642
2024-08,2024Q2,3,52,2,0.0256,-0.215,0.2406
2024-09,2024Q3,1,30,2,0.104,0.324,-0.22
2024-10,2024Q3,2,15,2,0.1153,0.324,-0.2087
2024-11,2024Q3,3,44,2,0.3349,0.324,0.0109
2024-12,2024Q4,1,28,2,1.7601,0.469,1.2911
2024-13,2024Q4,2,42,2,0.1559,0.469,-0.3131
2024-14,2024Q4,3,27,2,0.2081,0.469,-0.2609
2025-03,2025Q1,1,53,2,1.1006,0.229,0.8716
2025-04,2025Q1,2,34,2,0.0334,0.229,-0.1956
