monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,nowcast_baseline,point_shift,ci_lower_90,ci_upper_90,rel_vol,rel_vol_target,sigma_em
2011-03,2011Q1,1,52,2,0.7284,1.367,-0.6386,0.6711,0.0573,-0.6962111469682678,2.1260058022782578,1.013,1.0,0.674
2011-04,2011Q1,2,33,2,1.5857,1.367,0.2187,1.4127,0.173,0.5086386583165556,2.332387423367087,1.235,1.0,0.795
2011-05,2011Q1,3,41,2,1.2299,1.367,-0.1371,1.1225,0.1074,0.47989175533309736,2.130467356384006,0.789,1.0,0.628
2011-06,2011Q2,1,59,2,1.5058,0.181,1.3248,1.446,0.0598,0.03944965351935803,2.856922899327602,1.426,1.0,0.681
2011-07,2011Q2,2,52,2,0.1728,0.181,-0.0082,0.138,0.0348,-0.9818573805654107,0.990452311112797,1.548,1.0,0.898
2011-08,2011Q2,3,23,2,-0.1179,0.181,-0.2989,-0.0284,-0.0895,-0.9287900788587388,0.7404416397303131,1.174,1.0,0.845
2011-09,2011Q3,1,16,2,2.383,0.478,1.905,2.273,0.11,1.4758428327007926,3.1727235232584716,1.387,1.0,0.845
2011-10,2011Q3,2,44,2,0.6145,0.478,0.1365,0.5594,0.0551,-0.8731464458827658,1.5305018781450848,0.724,1.0,0.715
2011-11,2011Q3,3,53,2,0.3853,0.478,-0.0927,0.2783,0.107,-0.7303828573012603,1.3966287413197316,0.979,1.0,0.851
2011-12,2011Q4,1,57,2,1.3662,0.733,0.6332,1.3212,0.045,0.6564193995939356,2.776176331562528,1.366,1.0,0.911
2011-13,2011Q4,2,25,2,1.451,0.733,0.718,1.3642,0.0868,0.4566363098821282,2.5707963174821105,1.095,1.0,0.504
2011-14,2011Q4,3,42,2,0.5977,0.733,-0.1353,0.6732,-0.0755,-0.24007277306269714,1.3209713198112913,1.356,1.0,0.706
2012-03,2012Q1,1,50,2,1.3794,0.901,0.4784,1.3889,-0.0095,0.18861336283837993,2.1545718350978666,1.277,1.0,0.924
2012-04,2012Q1,2,35,2,1.8948,0.901,0.9938,1.8641,0.0307,0.5530011272500057,3.2922276878128565,1.091,1.0,0.757
2012-05,2012Q1,3,35,2,0.8376,0.901,-0.0634,0.848,-0.0104,-0.27866191419700825,2.2496416027703834,1.163,1.0,0.543
2012-06,2012Q2,1,43,2,-1.5987,0.1,-1.6987,-1.6508,0.0521,-3.0278045233670876,-0.3250618278241961,0.749,1.0,0.838
2012-07,2012Q2,2,46,2,-0.1841,0.1,-0.2841,-0.0953,-0.0888,-1.667890243289555,1.1902697056344493,0.801,1.0,0.905
2012-08,2012Q2,3,36,2,0.5446,0.1,0.4446,0.5543,-0.0097,-0.6545503094329921,1.7045688543589137,1.493,1.0,0.606
2012-09,2012Q3,1,34,2,-0.7523,0.338,-1.0903,-0.7218,-0.0305,-2.1403506518779656,0.4489786190329661,0.853,1.0,0.772
2012-10,2012Q3,2,46,2,0.2059,0.338,-0.1321,0.2045,0.0014,-1.1274023189666098,1.5968275713019688,1.183,1.0,0.994
2012-11,2012Q3,3,25,2,0.0475,0.338,-0.2905,0.0212,0.0263,-0.9816283553180797,1.2420304596241836,0.703,1.0,0.573
2012-12,2012Q4,1,27,2,0.253,0.626,-0.373,0.383,-0.13,-0.5699316575477404,1.531659152112801,0.957,1.0,0.764
2012-13,2012Q4,2,44,2,0.6475,0.626,0.0215,0.4571,0.1904,-0.48508007307098366,2.146557295426166,0.795,1.0,0.895
2012-14,2012Q4,3,47,2,0.6826,0.626,0.0566,0.6375,0.0451,-0.035590892552176956,1.9510160969508057,1.418,1.0,0.6
2013-03,2013Q1,1,29,2,-1.1616,-0.032,-1.1296,-1.2177,0.0561,-2.322620582434113,0.14920385817010606,0.888,1.0,0.586
2013-04,2013Q1,2,22,2,-0.1259,-0.032,-0.0939,-0.0187,-0.1072,-1.1904670085840423,1.1453971550253916,1.538,1.0,0.626
2013-05,2013Q1,3,39,2,0.0273,-0.032,0.0593,0.0582,-0.0309,-0.6983895705032255,1.4343273190563257,1.346,1.0,0.737
2013-06,2013Q2,1,24,2,0.3353,0.134,0.2013,0.2158,0.1195,-0.8197692127119252,1.6034592080388392,0.734,1.0,0.725
2013-07,2013Q2,2,45,2,-0.3147,0.134,-0.4487,-0.2543,-0.0604,-1.71236868540601,0.590154279328836,0.959,1.0,0.883
2013-08,2013Q2,3,28,2,0.4493,0.134,0.3153,0.3922,0.0571,-0.6791626267145359,1.4863981039158893,1.23,1.0,0.598
2013-09,2013Q3,1,32,2,0.3621,-0.317,0.6791,0.4593,-0.0972,-0.8664674656394878,1.6014369917841447,1.415,1.0,0.916
2013-10,2013Q3,2,16,2,-0.5353,-0.317,-0.2183,-0.5714,0.0361,-1.8274518350458546,0.17175566275449172,0.837,1.0,0.81
