quarter,nowcast,actual,error
2011Q1,0.5486,1.367,-0.8184
2011Q2,0.2969,0.181,0.1159
2011Q3,-0.7967,0.478,-1.2747
2011Q4,2.4905,0.733,1.7575
2012Q1,1.3481,0.901,0.4471
2012Q2,-1.5378,0.1,-1.6378
2012Q3,0.5032,0.338,0.1652
2012Q4,2.3341,0.626,1.7081
2013Q1,1.2073,-0.032,1.2393
2013Q2,-1.9551,0.134,-2.0891
2013Q3,-1.2607,-0.317,-0.9437
2013Q4,-0.2635,0.585,-0.8485
2014Q1,2.2368,0.733,1.5038
2014Q2,0.0464,0.154,-0.1076
2014Q3,0.9507,0.381,0.5697
2014Q4,0.6898,0.599,0.0908
2015Q1,0.9312,0.034,0.8972
2015Q2,-0.2761,0.151,-0.4271
2015Q3,-0.3886,0.045,-0.4336
2015Q4,1.1964,0.42,0.7764
2016Q1,0.4295,-0.032,0.4615
2016Q2,-0.4297,-0.684,0.2543
2016Q3,-2.0481,0.025,-2.0731
2016Q4,-0.1129,0.593,-0.7059
2017Q1,-0.4712,-0.07,-0.4012
2017Q2,0.7993,0.767,0.0323
2017Q3,0.6073,0.02,0.5873
2017Q4,-0.7334,-0.362,-0.3714
2018Q1,0.545,0.016,0.529
2018Q2,1.7999,0.267,1.5329
2018Q3,2.0073,0.538,1.4693
2018Q4,-1.0763,-0.317,-0.7593
2019Q1,-0.9194,-0.187,-0.7324
2019Q2,-0.7727,-0.036,-0.7367
2019Q3,-0.3563,0.619,-0.9753
2019Q4,0.3891,0.196,0.1931
2020Q1,-3.5436,-2.0,-1.5436
2020Q2,-7.2169,-9.5,2.2831
2020Q3,7.2075,8.7,-1.4925
2020Q4,-0.4634,0.6,-1.0634
2021Q1,-1.8482,0.121,-1.9692
2021Q2,0.1061,-0.0,0.1061
2021Q3,1.0495,1.044,0.0055
2021Q4,0.197,0.196,0.001
2022Q1,-0.5004,-0.052,-0.4484
2022Q2,2.1208,0.937,1.1838
2022Q3,-1.0189,-0.225,-0.7939
2022Q4,-0.0691,-0.041,-0.0281
2023Q1,-0.8841,-0.243,-0.6411
2023Q2,2.5188,0.276,2.2428
2023Q3,-1.6798,0.25,-1.9298
2023Q4,1.1769,0.655,0.5219
2024Q1,-1.2394,0.921,-2.1604
2024Q2,2.4214,-0.215,2.6364
2024Q3,0.7616,0.324,0.4376
2024Q4,1.4698,0.469,1.0008
2025Q1,1.7613,0.229,1.5323
2025Q2,-0.1502,0.084,-0.2342
2025Q3,0.063,-0.305,0.368
2025Q4,1.5109,0.123,1.3879
