monthly_origin,quarter,month_in_quarter,n_indicators,fit_tag,nowcast,actual,error
2011-03,2011Q1,1,38,ok,1.7073,1.367,0.3403
2011-04,2011Q1,2,28,ok,0.9226,1.367,-0.4444
2011-05,2011Q1,3,35,ok,1.3802,1.367,0.0132
2011-06,2011Q2,1,18,ok,0.3215,0.181,0.1405
2011-07,2011Q2,2,48,ok,0.634,0.181,0.453
2011-08,2011Q2,3,39,ok,-0.0422,0.181,-0.2232
2011-09,2011Q3,1,46,ok,0.9,0.478,0.422
2011-10,2011Q3,2,37,ok,0.179,0.478,-0.299
2011-11,2011Q3,3,34,ok,0.759,0.478,0.281
2011-12,2011Q4,1,31,ok,1.1489,0.733,0.4159
2011-13,2011Q4,2,44,ok,0.7878,0.733,0.0548
2011-14,2011Q4,3,46,ok,0.6499,0.733,-0.0831
2012-03,2012Q1,1,34,ok,0.4204,0.901,-0.4806
2012-04,2012Q1,2,39,ok,0.536,0.901,-0.365
2012-05,2012Q1,3,29,ok,0.5778,0.901,-0.3232
2012-06,2012Q2,1,44,ok,0.406,0.1,0.306
2012-07,2012Q2,2,55,ok,0.0389,0.1,-0.0611
2012-08,2012Q2,3,18,ok,0.2491,0.1,0.1491
2012-09,2012Q3,1,17,ok,0.4027,0.338,0.0647
2012-10,2012Q3,2,43,ok,0.4272,0.338,0.0892
2012-11,2012Q3,3,18,ok,0.7215,0.338,0.3835
2012-12,2012Q4,1,38,ok,0.0302,0.626,-0.5958
2012-13,2012Q4,2,38,ok,0.9539,0.626,0.3279
2012-14,2012Q4,3,17,ok,0.4805,0.626,-0.1455
2013-03,2013Q1,1,23,ok,0.4986,-0.032,0.5306
2013-04,2013Q1,2,59,ok,0.0025,-0.032,0.0345
2013-05,2013Q1,3,56,ok,-0.1693,-0.032,-0.1373
2013-06,2013Q2,1,33,ok,-0.8553,0.134,-0.9893
2013-07,2013Q2,2,50,ok,-0.1792,0.134,-0.3132
2013-08,2013Q2,3,39,ok,0.1237,0.134,-0.0103
2013-09,2013Q3,1,49,ok,-1.416,-0.317,-1.099
2013-10,2013Q3,2,51,ok,-0.2092,-0.317,0.1078
2013-11,2013Q3,3,22,ok,-0.0268,-0.317,0.2902
2013-12,2013Q4,1,27,ok,0.4576,0.585,-0.1274
2013-13,2013Q4,2,38,ok,0.6804,0.585,0.0954
2013-14,2013Q4,3,46,ok,0.4268,0.585,-0.1582
2014-03,2014Q1,1,52,ok,0.4155,0.733,-0.3175
2014-04,2014Q1,2,29,ok,0.0299,0.733,-0.7031
2014-05,2014Q1,3,29,ok,1.1655,0.733,0.4325
2014-06,2014Q2,1,53,ok,0.6107,0.154,0.4567
2014-07,2014Q2,2,56,ok,-0.1191,0.154,-0.2731
2014-08,2014Q2,3,37,ok,-0.1017,0.154,-0.2557
2014-09,2014Q3,1,59,ok,0.8996,0.381,0.5186
2014-10,2014Q3,2,54,ok,0.1771,0.381,-0.2039
2014-11,2014Q3,3,31,ok,0.1366,0.381,-0.2444
2014-12,2014Q4,1,53,ok,0.0174,0.599,-0.5816
2014-13,2014Q4,2,59,ok,0.0167,0.599,-0.5823
2014-14,2014Q4,3,20,ok,0.4365,0.599,-0.1625
2015-03,2015Q1,1,38,ok,-0.9351,0.034,-0.9691
2015-04,2015Q1,2,30,ok,-0.5264,0.034,-0.5604
2015-05,2015Q1,3,51,ok,0.5632,0.034,0.5292
2015-06,2015Q2,1,57,ok,-0.2509,0.151,-0.4019
2015-07,2015Q2,2,41,ok,-0.3265,0.151,-0.4775
2015-08,2015Q2,3,32,ok,0.1673,0.151,0.0163
2015-09,2015Q3,1,37,ok,-0.5075,0.045,-0.5525
2015-10,2015Q3,2,23,ok,0.0538,0.045,0.0088
2015-11,2015Q3,3,54,ok,-0.2385,0.045,-0.2835
2015-12,2015Q4,1,56,ok,1.3985,0.42,0.9785
2015-13,2015Q4,2,20,ok,-0.6935,0.42,-1.1135
2015-14,2015Q4,3,44,ok,0.469,0.42,0.049
2016-03,2016Q1,1,53,ok,1.6806,-0.032,1.7126
2016-04,2016Q1,2,23,ok,-0.6871,-0.032,-0.6551
2016-05,2016Q1,3,22,ok,0.3396,-0.032,0.3716
2016-06,2016Q2,1,25,ok,-0.3513,-0.684,0.3327
2016-07,2016Q2,2,46,ok,-0.6364,-0.684,0.0476
2016-08,2016Q2,3,47,ok,-0.6848,-0.684,-0.0008
2016-09,2016Q3,1,26,ok,0.8397,0.025,0.8147
2016-10,2016Q3,2,15,ok,-0.1065,0.025,-0.1315
2016-11,2016Q3,3,18,ok,-0.027,0.025,-0.052
2016-12,2016Q4,1,20,ok,1.5246,0.593,0.9316
2016-13,2016Q4,2,28,ok,0.5351,0.593,-0.0579
2016-14,2016Q4,3,53,ok,0.3704,0.593,-0.2226
2017-03,2017Q1,1,48,ok,0.3733,-0.07,0.4433
2017-04,2017Q1,2,31,ok,-1.0704,-0.07,-1.0004
2017-05,2017Q1,3,36,ok,-0.3797,-0.07,-0.3097
2017-06,2017Q2,1,23,ok,0.2443,0.767,-0.5227
2017-07,2017Q2,2,37,ok,1.0267,0.767,0.2597
2017-08,2017Q2,3,43,ok,1.0687,0.767,0.3017
2017-09,2017Q3,1,32,ok,-0.7337,0.02,-0.7537
2017-10,2017Q3,2,31,ok,0.3004,0.02,0.2804
2017-11,2017Q3,3,45,ok,0.4232,0.02,0.4032
2017-12,2017Q4,1,25,ok,-1.0064,-0.362,-0.6444
2017-13,2017Q4,2,26,ok,-0.4946,-0.362,-0.1326
2017-14,2017Q4,3,18,ok,-0.262,-0.362,0.1
2018-03,2018Q1,1,26,ok,0.7735,0.016,0.7575
2018-04,2018Q1,2,53,ok,0.5559,0.016,0.5399
2018-05,2018Q1,3,26,ok,-0.3463,0.016,-0.3623
2018-06,2018Q2,1,55,ok,1.015,0.267,0.748
2018-07,2018Q2,2,47,ok,-0.0495,0.267,-0.3165
2018-08,2018Q2,3,23,ok,0.4421,0.267,0.1751
2018-09,2018Q3,1,24,ok,0.8165,0.538,0.2785
2018-10,2018Q3,2,51,ok,1.3934,0.538,0.8554
2018-11,2018Q3,3,33,ok,0.582,0.538,0.044
2018-12,2018Q4,1,30,ok,-0.0069,-0.317,0.3101
