monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error
2011-03,2011Q1,1,40,2,2.7458,1.367,1.3788
2011-04,2011Q1,2,59,2,1.4681,1.367,0.1011
2011-05,2011Q1,3,23,2,1.0996,1.367,-0.2674
2011-06,2011Q2,1,22,2,0.5773,0.181,0.3963
2011-07,2011Q2,2,31,2,0.8038,0.181,0.6228
2011-08,2011Q2,3,28,2,-0.174,0.181,-0.355
2011-09,2011Q3,1,28,2,0.6353,0.478,0.1573
2011-10,2011Q3,2,20,2,0.5932,0.478,0.1152
2011-11,2011Q3,3,26,2,0.5498,0.478,0.0718
2011-12,2011Q4,1,19,2,-0.5682,0.733,-1.3012
2011-13,2011Q4,2,42,2,-0.8725,0.733,-1.6055
2011-14,2011Q4,3,39,2,0.7464,0.733,0.0134
2012-03,2012Q1,1,28,2,1.8972,0.901,0.9962
2012-04,2012Q1,2,59,2,0.7596,0.901,-0.1414
2012-05,2012Q1,3,40,2,0.9602,0.901,0.0592
2012-06,2012Q2,1,15,2,0.358,0.1,0.258
2012-07,2012Q2,2,16,2,0.2303,0.1,0.1303
2012-08,2012Q2,3,35,2,-0.3582,0.1,-0.4582
2012-09,2012Q3,1,49,2,0.336,0.338,-0.002
2012-10,2012Q3,2,35,2,0.1255,0.338,-0.2125
2012-11,2012Q3,3,57,2,-0.2489,0.338,-0.5869
2012-12,2012Q4,1,48,2,-0.1679,0.626,-0.7939
2012-13,2012Q4,2,37,2,1.0577,0.626,0.4317
2012-14,2012Q4,3,47,2,0.5394,0.626,-0.0866
2013-03,2013Q1,1,49,2,-1.1946,-0.032,-1.1626
2013-04,2013Q1,2,44,2,-0.6394,-0.032,-0.6074
2013-05,2013Q1,3,42,2,0.516,-0.032,0.548
2013-06,2013Q2,1,25,2,-0.5902,0.134,-0.7242
2013-07,2013Q2,2,40,2,0.3108,0.134,0.1768
2013-08,2013Q2,3,40,2,0.3515,0.134,0.2175
2013-09,2013Q3,1,21,2,-0.5096,-0.317,-0.1926
2013-10,2013Q3,2,15,2,-0.6499,-0.317,-0.3329
2013-11,2013Q3,3,18,2,-0.043,-0.317,0.274
2013-12,2013Q4,1,28,2,-1.4154,0.585,-2.0004
2013-13,2013Q4,2,26,2,0.4727,0.585,-0.1123
2013-14,2013Q4,3,34,2,0.3633,0.585,-0.2217
2014-03,2014Q1,1,39,2,0.1186,0.733,-0.6144
2014-04,2014Q1,2,55,2,0.4152,0.733,-0.3178
2014-05,2014Q1,3,25,2,0.9914,0.733,0.2584
2014-06,2014Q2,1,57,2,0.6286,0.154,0.4746
2014-07,2014Q2,2,28,2,0.3885,0.154,0.2345
2014-08,2014Q2,3,23,2,0.1964,0.154,0.0424
2014-09,2014Q3,1,43,2,-1.0812,0.381,-1.4622
2014-10,2014Q3,2,50,2,0.8468,0.381,0.4658
2014-11,2014Q3,3,38,2,0.4045,0.381,0.0235
2014-12,2014Q4,1,34,2,2.1373,0.599,1.5383
2014-13,2014Q4,2,15,2,-0.4314,0.599,-1.0304
