monthly_origin,quarter,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,q_ratio,tvp_intercept,ci_lower_90,ci_upper_90,tvp_loading_1,tvp_loading_2
2011-03,2011Q1,1,48,2,1.0259,1.367,-0.3411,1.044,0.1181,-0.005169035239441788,2.3573292775624273,0.7453,0.4991
2011-04,2011Q1,2,29,2,1.2279,1.367,-0.1391,1.317,0.2507,-0.34641849968238736,2.4821779259162042,0.6642,0.5451
2011-05,2011Q1,3,20,2,1.2413,1.367,-0.1257,0.894,0.1478,0.3526552132003201,2.2093173657043574,0.393,0.4026
2011-06,2011Q2,1,52,2,1.5514,0.181,1.3704,0.595,0.2463,0.2580481324907782,2.5676939297937214,0.7226,0.1962
2011-07,2011Q2,2,59,2,0.5204,0.181,0.3394,0.73,0.3269,-0.8416772375484882,1.3279549811260785,0.3094,0.1556
2011-08,2011Q2,3,17,2,0.0432,0.181,-0.1378,0.575,0.0973,-1.1078672227243356,0.959521434645594,0.3582,0.6068
2011-09,2011Q3,1,15,2,0.2475,0.478,-0.2305,0.672,0.2446,-0.7351281485988899,1.7669420308768748,0.2984,0.3603
2011-10,2011Q3,2,40,2,0.6473,0.478,0.1693,0.647,0.3258,-0.1792769279270049,1.9918832726022164,0.3377,0.5865
2011-11,2011Q3,3,52,2,0.5374,0.478,0.0594,1.31,0.1879,-0.6522770706203193,1.5671930161947616,0.4254,0.1824
2011-12,2011Q4,1,36,2,1.5202,0.733,0.7872,1.224,0.0233,0.7017015762787824,2.8767540403937866,0.6534,0.2248
2011-13,2011Q4,2,20,2,1.3076,0.733,0.5746,1.208,0.2662,0.46154443918986254,2.653176673628024,0.4751,0.5465
2011-14,2011Q4,3,50,2,0.8232,0.733,0.0902,0.607,0.2491,-0.11025952375217363,1.9425438618021191,0.4159,0.3738
2012-03,2012Q1,1,29,2,1.3219,0.901,0.4209,0.64,0.1716,0.06152023112168514,2.1289515454923227,0.656,0.4143
2012-04,2012Q1,2,20,2,0.3876,0.901,-0.5134,0.761,-0.0443,-0.8612364945079698,1.6671815631412166,0.5287,0.2668
2012-05,2012Q1,3,54,2,1.1744,0.901,0.2734,1.046,0.1577,-0.40587244562196645,2.7728609819589485,0.6915,0.2771
2012-06,2012Q2,1,59,2,-1.2037,0.1,-1.3037,1.048,0.3231,-2.124070495418459,0.028120930585741277,0.4829,0.4055
2012-07,2012Q2,2,30,2,0.1108,0.1,0.0108,0.597,0.1775,-1.2759904286923944,1.4200688125073089,0.5208,0.4092
2012-08,2012Q2,3,41,2,0.4499,0.1,0.3499,1.423,0.1624,-0.5076539922383849,1.8417161440531686,0.565,0.3754
2012-09,2012Q3,1,29,2,0.1223,0.338,-0.2157,1.413,0.1584,-1.3317107581440242,0.9887589641956903,0.5066,0.2002
2012-10,2012Q3,2,27,2,0.0175,0.338,-0.3205,0.887,0.1662,-1.1365298647010675,1.0654469420209736,0.4902,0.3179
2012-11,2012Q3,3,34,2,0.1061,0.338,-0.2319,0.662,0.226,-0.6940699270730382,1.0174653876637003,0.7137,0.2938
2012-12,2012Q4,1,31,2,0.7443,0.626,0.1183,1.496,0.1889,-0.605802995790695,2.0661882959626703,0.5856,0.4622
2012-13,2012Q4,2,33,2,0.8012,0.626,0.1752,1.32,0.1001,-0.48392286129514217,2.1360123253749888,0.3679,0.4353
2012-14,2012Q4,3,50,2,0.7386,0.626,0.1126,0.763,0.0659,-0.815147827983164,1.6757982689880455,0.7778,0.3767
2013-03,2013Q1,1,18,2,0.4274,-0.032,0.4594,1.185,0.1432,-0.6188363226651332,1.9687737381633528,0.8287,0.1491
2013-04,2013Q1,2,23,2,-0.0319,-0.032,0.0001,0.553,0.0565,-1.112847557967043,1.1596991390135991,0.5952,0.1161
2013-05,2013Q1,3,19,2,-0.108,-0.032,-0.076,1.297,0.1639,-1.1785895962092716,0.6956443959461356,0.8423,0.383
2013-06,2013Q2,1,26,2,0.7573,0.134,0.6233,1.454,0.0811,-0.6425041113021771,2.3529988940488464,0.6211,0.3285
2013-07,2013Q2,2,57,2,0.3729,0.134,0.2389,1.38,0.2377,-0.4808860197062571,1.5142280550574825,0.5265,0.4391
2013-08,2013Q2,3,29,2,-0.0809,0.134,-0.2149,1.014,0.2875,-1.2487992464812214,1.5182774537136248,0.4592,0.6563
2013-09,2013Q3,1,45,2,-1.7123,-0.317,-1.3953,1.033,0.1896,-2.960148640090813,-0.5027346037496871,0.3175,0.2961
2013-10,2013Q3,2,41,2,0.1363,-0.317,0.4533,1.397,0.3053,-0.8653316607931038,1.0468501392866627,0.6358,0.3639
2013-11,2013Q3,3,49,2,-0.5901,-0.317,-0.2731,0.741,0.1459,-2.075231395470625,0.6694542406311935,0.846,0.5279
2013-12,2013Q4,1,45,2,-0.0001,0.585,-0.5851,1.348,0.0932,-1.3312840918537385,0.8688121510627941,0.4551,0.2637
2013-13,2013Q4,2,46,2,0.9716,0.585,0.3866,0.587,0.1324,0.006641666700628934,2.4280370638575297,0.5393,0.239
2013-14,2013Q4,3,50,2,0.7644,0.585,0.1794,0.589,0.176,-0.04749267010045588,2.2875403085774613,0.6124,0.088
2014-03,2014Q1,1,17,2,1.058,0.733,0.325,1.191,0.1908,-0.524386610893754,2.017537181238651,0.6367,0.0879
2014-04,2014Q1,2,17,2,0.3008,0.733,-0.4322,1.478,0.1958,-1.1296139561190848,1.5534306666872948,0.5787,0.2131
2014-05,2014Q1,3,26,2,1.1156,0.733,0.3826,1.01,0.2775,0.2894576284483501,2.1008518470399635,0.7256,0.1847
2014-06,2014Q2,1,50,2,-0.6364,0.154,-0.7904,1.255,0.3393,-1.7731910252087757,0.8780270212637539,0.5844,-0.047
2014-07,2014Q2,2,42,2,0.5215,0.154,0.3675,1.384,0.1845,-0.8630610567033045,2.112669594883499,0.7142,0.164
2014-08,2014Q2,3,30,2,0.2147,0.154,0.0607,0.751,0.3333,-1.355891609708674,1.0379199778438524,0.5515,0.3541
2014-09,2014Q3,1,47,2,-0.2632,0.381,-0.6442,0.791,0.2904,-1.275084256412637,1.2137015087062997,0.3372,0.0675
2014-10,2014Q3,2,23,2,0.8657,0.381,0.4847,0.58,0.1443,-0.18464559542864978,1.7068374004731335,0.5564,0.4049
2014-11,2014Q3,3,32,2,-0.2073,0.381,-0.5883,0.942,0.3245,-1.5677109397146443,0.8742530388904093,0.5551,0.2916
2014-12,2014Q4,1,53,2,3.2746,0.599,2.6756,0.692,0.157,2.281310898625611,4.603726244147646,0.4075,0.51
2014-13,2014Q4,2,35,2,0.3245,0.599,-0.2745,1.485,0.4211,-0.5702491659342583,1.6571371374999875,0.4549,0.4245
2014-14,2014Q4,3,32,2,0.4591,0.599,-0.1399,0.872,0.1669,-0.591883395820193,1.3000089241574144,0.5167,0.2498
2015-03,2015Q1,1,32,2,0.1242,0.034,0.0902,1.302,0.3259,-0.9695523122460102,1.623825640288105,0.5884,0.2331
2015-04,2015Q1,2,37,2,0.2702,0.034,0.2362,1.312,0.0758,-1.054297623960968,1.562125601623622,0.4613,0.0472
2015-05,2015Q1,3,38,2,0.0482,0.034,0.0142,1.47,0.0777,-1.4204532925813136,1.105296995588543,0.6289,0.1109
2015-06,2015Q2,1,19,2,0.0702,0.151,-0.0808,0.764,0.1772,-1.2808158912102356,1.4785897909933943,0.3554,0.1387
2015-07,2015Q2,2,24,2,0.6316,0.151,0.4806,1.281,0.1634,-0.606489897457113,1.845906174291657,0.8008,0.0185
