quarter,monthly_origin,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,n_features
2011Q1,2011-03,1,41,2,0.3989,1.367,-0.9681,6
2011Q1,2011-04,2,34,2,1.7154,1.367,0.3484,6
2011Q1,2011-05,3,48,2,1.6347,1.367,0.2677,6
2011Q2,2011-06,1,39,2,-0.3181,0.181,-0.4991,6
2011Q2,2011-07,2,50,2,-0.2451,0.181,-0.4261,6
2011Q2,2011-08,3,21,2,0.2884,0.181,0.1074,6
2011Q3,2011-09,1,57,2,1.1717,0.478,0.6937,6
2011Q3,2011-10,2,22,2,-0.4797,0.478,-0.9577,6
2011Q3,2011-11,3,25,2,1.13,0.478,0.652,6
2011Q4,2011-12,1,17,2,0.9487,0.733,0.2157,6
2011Q4,2011-13,2,36,2,0.8102,0.733,0.0772,6
2011Q4,2011-14,3,32,2,0.7989,0.733,0.0659,6
2012Q1,2012-03,1,15,2,0.8738,0.901,-0.0272,6
2012Q1,2012-04,2,35,2,1.2388,0.901,0.3378,6
2012Q1,2012-05,3,49,2,0.5791,0.901,-0.3219,6
2012Q2,2012-06,1,21,2,0.1122,0.1,0.0122,6
2012Q2,2012-07,2,16,2,-0.31,0.1,-0.41,6
2012Q2,2012-08,3,52,2,0.3647,0.1,0.2647,6
2012Q3,2012-09,1,38,2,-0.1502,0.338,-0.4882,6
2012Q3,2012-10,2,32,2,0.8668,0.338,0.5288,6
2012Q3,2012-11,3,26,2,0.1975,0.338,-0.1405,6
2012Q4,2012-12,1,35,2,1.3962,0.626,0.7702,6
2012Q4,2012-13,2,16,2,0.6422,0.626,0.0162,6
2012Q4,2012-14,3,44,2,0.5981,0.626,-0.0279,6
2013Q1,2013-03,1,29,2,0.3979,-0.032,0.4299,6
2013Q1,2013-04,2,52,2,-0.4924,-0.032,-0.4604,6
2013Q1,2013-05,3,53,2,0.3325,-0.032,0.3645,6
2013Q2,2013-06,1,18,2,-0.1872,0.134,-0.3212,6
2013Q2,2013-07,2,47,2,-0.501,0.134,-0.635,6
2013Q2,2013-08,3,33,2,0.3749,0.134,0.2409,6
2013Q3,2013-09,1,51,2,-1.3752,-0.317,-1.0582,6
2013Q3,2013-10,2,29,2,-0.249,-0.317,0.068,6
2013Q3,2013-11,3,19,2,-0.1182,-0.317,0.1988,6
2013Q4,2013-12,1,33,2,1.6505,0.585,1.0655,6
2013Q4,2013-13,2,45,2,0.4283,0.585,-0.1567,6
2013Q4,2013-14,3,15,2,0.8884,0.585,0.3034,6
2014Q1,2014-03,1,16,2,1.0503,0.733,0.3173,6
2014Q1,2014-04,2,57,2,1.2927,0.733,0.5597,6
2014Q1,2014-05,3,17,2,0.8663,0.733,0.1333,6
2014Q2,2014-06,1,45,2,-1.2256,0.154,-1.3796,6
2014Q2,2014-07,2,57,2,-0.4457,0.154,-0.5997,6
2014Q2,2014-08,3,30,2,0.4733,0.154,0.3193,6
2014Q3,2014-09,1,54,2,-0.3703,0.381,-0.7513,6
2014Q3,2014-10,2,34,2,0.697,0.381,0.316,6
2014Q3,2014-11,3,33,2,0.5111,0.381,0.1301,6
2014Q4,2014-12,1,42,2,-0.7291,0.599,-1.3281,6
2014Q4,2014-13,2,54,2,-0.2927,0.599,-0.8917,6
2014Q4,2014-14,3,16,2,0.7139,0.599,0.1149,6
2015Q1,2015-03,1,41,2,0.6501,0.034,0.6161,6
2015Q1,2015-04,2,31,2,-0.2448,0.034,-0.2788,6
2015Q1,2015-05,3,42,2,-0.6189,0.034,-0.6529,6
2015Q2,2015-06,1,53,2,1.6715,0.151,1.5205,6
2015Q2,2015-07,2,44,2,0.6148,0.151,0.4638,6
2015Q2,2015-08,3,35,2,0.1033,0.151,-0.0477,6
2015Q3,2015-09,1,24,2,0.0711,0.045,0.0261,6
2015Q3,2015-10,2,32,2,0.8502,0.045,0.8052,6
2015Q3,2015-11,3,15,2,-0.3406,0.045,-0.3856,6
2015Q4,2015-12,1,52,2,-2.2557,0.42,-2.6757,6
2015Q4,2015-13,2,20,2,0.1187,0.42,-0.3013,6
2015Q4,2015-14,3,59,2,0.829,0.42,0.409,6
2016Q1,2016-03,1,33,2,1.4094,-0.032,1.4414,6
2016Q1,2016-04,2,54,2,-0.6704,-0.032,-0.6384,6
2016Q1,2016-05,3,42,2,-0.5399,-0.032,-0.5079,6
2016Q2,2016-06,1,41,2,-0.677,-0.684,0.007,6
2016Q2,2016-07,2,45,2,-0.3085,-0.684,0.3755,6
2016Q2,2016-08,3,17,2,-0.8094,-0.684,-0.1254,6
2016Q3,2016-09,1,49,2,-0.6904,0.025,-0.7154,6
2016Q3,2016-10,2,23,2,0.072,0.025,0.047,6
2016Q3,2016-11,3,17,2,-0.0948,0.025,-0.1198,6
2016Q4,2016-12,1,17,2,0.1706,0.593,-0.4224,6
2016Q4,2016-13,2,38,2,0.3629,0.593,-0.2301,6
2016Q4,2016-14,3,33,2,-0.2296,0.593,-0.8226,6
