quarter,nowcast,actual,error
2011Q1,0.6202,1.367,-0.7468
2011Q2,0.7495,0.181,0.5685
2011Q3,3.1041,0.478,2.6261
2011Q4,-0.3097,0.733,-1.0427
2012Q1,0.9848,0.901,0.0838
2012Q2,-1.5292,0.1,-1.6292
2012Q3,3.7347,0.338,3.3967
2012Q4,2.0177,0.626,1.3917
2013Q1,3.9372,-0.032,3.9692
2013Q2,-0.0345,0.134,-0.1685
2013Q3,-1.2717,-0.317,-0.9547
2013Q4,0.5249,0.585,-0.0601
2014Q1,1.5224,0.733,0.7894
2014Q2,-0.261,0.154,-0.415
2014Q3,0.3005,0.381,-0.0805
2014Q4,0.2948,0.599,-0.3042
2015Q1,-1.502,0.034,-1.536
2015Q2,0.7361,0.151,0.5851
2015Q3,-1.2743,0.045,-1.3193
2015Q4,2.677,0.42,2.257
2016Q1,-0.4546,-0.032,-0.4226
2016Q2,-2.2102,-0.684,-1.5262
2016Q3,-1.7137,0.025,-1.7387
2016Q4,-0.5584,0.593,-1.1514
2017Q1,-1.1112,-0.07,-1.0412
2017Q2,3.2877,0.767,2.5207
2017Q3,1.2461,0.02,1.2261
2017Q4,1.6087,-0.362,1.9707
2018Q1,-1.9315,0.016,-1.9475
2018Q2,1.117,0.267,0.85
2018Q3,0.6949,0.538,0.1569
2018Q4,-0.383,-0.317,-0.066
2019Q1,0.5812,-0.187,0.7682
2019Q2,-1.5895,-0.036,-1.5535
2019Q3,-0.0107,0.619,-0.6297
2019Q4,-1.0645,0.196,-1.2605
2020Q1,-5.1136,-2.0,-3.1136
2020Q2,-10.4649,-9.5,-0.9649
2020Q3,10.7274,8.7,2.0274
2020Q4,1.46,0.6,0.86
2021Q1,-1.4921,0.121,-1.6131
2021Q2,-0.3598,-0.0,-0.3598
2021Q3,1.5518,1.044,0.5078
2021Q4,-2.0145,0.196,-2.2105
2022Q1,2.8147,-0.052,2.8667
2022Q2,3.286,0.937,2.349
2022Q3,0.4383,-0.225,0.6633
2022Q4,0.8264,-0.041,0.8674
2023Q1,0.4344,-0.243,0.6774
2023Q2,0.2848,0.276,0.0088
2023Q3,-0.8124,0.25,-1.0624
2023Q4,-0.7138,0.655,-1.3688
2024Q1,0.2974,0.921,-0.6236
2024Q2,-1.3447,-0.215,-1.1297
2024Q3,-0.6765,0.324,-1.0005
2024Q4,-1.5234,0.469,-1.9924
2025Q1,1.5772,0.229,1.3482
2025Q2,-4.214,0.084,-4.298
2025Q3,-0.1722,-0.305,0.1328
2025Q4,1.0105,0.123,0.8875
