quarter,monthly_origin,month_in_quarter,n_indicators,k_factors,nowcast,actual,error,n_features,n_features_pre
2011Q1,2011-03,1,42,2,1.9393,1.367,0.5723,539,1705
2011Q1,2011-04,2,26,2,1.0774,1.367,-0.2896,514,1738
2011Q1,2011-05,3,49,2,0.5866,1.367,-0.7804,603,1771
2011Q2,2011-06,1,56,2,-0.0332,0.181,-0.2142,570,1755
2011Q2,2011-07,2,55,2,-0.5738,0.181,-0.7548,566,1781
2011Q2,2011-08,3,49,2,0.6072,0.181,0.4262,602,1712
2011Q3,2011-09,1,45,2,-0.2535,0.478,-0.7315,602,1733
2011Q3,2011-10,2,37,2,-0.4795,0.478,-0.9575,519,1755
2011Q3,2011-11,3,24,2,0.1497,0.478,-0.3283,607,1722
2011Q4,2011-12,1,44,2,-0.6269,0.733,-1.3599,563,1729
2011Q4,2011-13,2,30,2,0.6413,0.733,-0.0917,567,1736
2011Q4,2011-14,3,58,2,0.7745,0.733,0.0415,501,1792
2012Q1,2012-03,1,34,2,1.3596,0.901,0.4586,552,1768
2012Q1,2012-04,2,39,2,0.6447,0.901,-0.2563,568,1749
2012Q1,2012-05,3,57,2,1.0203,0.901,0.1193,579,1716
2012Q2,2012-06,1,55,2,0.4638,0.1,0.3638,542,1731
2012Q2,2012-07,2,28,2,1.1254,0.1,1.0254,600,1722
2012Q2,2012-08,3,55,2,-0.2172,0.1,-0.3172,594,1784
2012Q3,2012-09,1,57,2,0.9673,0.338,0.6293,500,1734
2012Q3,2012-10,2,19,2,0.3904,0.338,0.0524,612,1773
2012Q3,2012-11,3,45,2,0.0492,0.338,-0.2888,572,1739
2012Q4,2012-12,1,39,2,1.9288,0.626,1.3028,579,1756
2012Q4,2012-13,2,43,2,0.8543,0.626,0.2283,606,1701
2012Q4,2012-14,3,28,2,0.6717,0.626,0.0457,522,1722
2013Q1,2013-03,1,38,2,1.1842,-0.032,1.2162,541,1789
2013Q1,2013-04,2,22,2,-0.733,-0.032,-0.701,575,1723
2013Q1,2013-05,3,32,2,-0.2049,-0.032,-0.1729,591,1724
2013Q2,2013-06,1,51,2,-2.4409,0.134,-2.5749,535,1700
