series,pub_lag,last_obs_month,n_obs_q,n_filled_q,n_missing_q,status
srv0001,0,2025-12,3,0,0,observed
srv0002,0,2025-12,3,0,0,observed
srv0003,0,2025-12,3,0,0,observed
srv0004,0,2025-12,3,0,0,observed
srv0005,0,2025-12,3,0,0,observed
srv0006,0,2025-12,3,0,0,observed
srv0007,0,2025-12,3,0,0,observed
srv0008,0,2025-12,3,0,0,observed
srv0009,0,2025-12,3,0,0,observed
srv0010,0,2025-12,3,0,0,observed
srv0011,0,2025-12,3,0,0,observed
srv0012,0,2025-12,3,0,0,observed
srv0013,0,2025-12,3,0,0,observed
srv0014,0,2025-12,3,0,0,observed
srv0015,0,2025-12,3,0,0,observed
srv0016,0,2025-12,3,0,0,observed
srv0017,0,2025-12,3,0,0,observed
srv0018,0,2025-12,3,0,0,observed
srv0019,0,2025-12,3,0,0,observed
srv0020,0,2025-12,3,0,0,observed
srv0021,0,2025-12,3,0,0,observed
srv0022,0,2025-12,3,0,0,observed
srv0023,0,2025-12,3,0,0,observed
srv0024,0,2025-12,3,0,0,observed
srv0025,0,2025-12,3,0,0,observed
srv0026,0,2025-12,3,0,0,observed
srv0027,0,2025-12,3,0,0,observed
srv0028,0,2025-12,3,0,0,observed
srv0029,0,2025-12,3,0,0,observed
srv0030,0,2025-12,3,0,0,observed
srv0031,0,2025-12,3,0,0,observed
srv0032,0,2025-12,3,0,0,observed
srv0033,0,2025-12,3,0,0,observed
srv0034,0,2025-12,3,0,0,observed
srv0035,0,2025-12,3,0,0,observed
srv0036,0,2025-12,3,0,0,observed
srv0037,0,2025-12,3,0,0,observed
srv0038,0,2025-12,3,0,0,observed
srv0039,0,2025-12,3,0,0,observed
srv0040,0,2025-12,3,0,0,observed
srv0041,0,2025-12,3,0,0,observed
srv0042,0,2025-12,3,0,0,observed
srv0043,0,2025-12,3,0,0,observed
srv0044,0,2025-12,3,0,0,observed
srv0045,0,2025-12,3,0,0,observed
srv0046,0,2025-12,3,0,0,observed
srv0047,0,2025-12,3,0,0,observed
srv0048,0,2025-12,3,0,0,observed
srv0049,0,2025-12,3,0,0,observed
srv0050,0,2025-12,3,0,0,observed
srv0051,0,2025-12,3,0,0,observed
srv0052,0,2025-12,3,0,0,observed
srv0053,0,2025-12,3,0,0,observed
srv0054,0,2025-12,3,0,0,observed
srv0055,0,2025-12,3,0,0,observed
srv0056,0,2025-12,3,0,0,observed
