quarter,feature,mean_abs_shap
2011Q1,prd0413__L1,0.22857
2011Q1,cmd0522__L1,0.57079
2011Q1,srv0038__L0,0.60717
2011Q1,srv0143__L0,0.10021
2011Q1,srv0074__L2,0.52887
2011Q1,trd0472__L2,0.40792
2011Q1,srv0128__L0,0.94751
2011Q1,trd0483__L2,0.21077
2011Q1,srv0236__L0,0.23078
2011Q1,srv0158__L2,0.13104
2011Q1,glb0557__L1,1.15885
2011Q1,srv0029__L2,0.79624
2011Q1,trd0479__L2,0.54113
2011Q1,srv0212__L2,0.51847
2011Q1,srv0046__L0,0.38299
2011Q1,prd0408__L0,0.12545
2011Q1,srv0198__L2,0.52635
2011Q1,srv0332__L1,0.5959
2011Q1,ord0366__L1,0.03518
2011Q1,srv0049__L0,0.54756
2011Q1,srv0295__L1,0.34444
2011Q1,msc0568__L0,0.39059
2011Q1,srv0156__L1,0.16007
2011Q1,prd0443__L0,0.9298
2011Q1,srv0132__L1,2.0023
2011Q1,trd0471__L1,1.0413
2011Q1,ord0340__L2,0.18921
2011Q1,prc0511__L1,0.25701
2011Q1,ord0362__L1,0.16928
2011Q1,srv0062__L2,1.87222
2011Q1,trd0467__L0,0.2772
2011Q1,srv0176__L0,0.12259
2011Q1,trd0464__L1,0.22314
2011Q1,srv0204__L1,1.01531
2011Q1,srv0017__L2,0.51958
2011Q1,msc0574__L0,0.48469
2011Q1,trn0379__L1,0.66253
2011Q1,cmd0515__L0,0.68682
2011Q1,srv0054__L0,1.16617
2011Q1,msc0583__L1,0.32588
2011Q1,srv0092__L0,0.87175
2011Q1,srv0113__L2,0.10503
2011Q1,prd0419__L2,1.77566
2011Q1,cmd0521__L2,0.19085
2011Q1,ord0355__L1,0.64011
2011Q1,msc0579__L2,0.99114
2011Q1,srv0122__L2,0.10527
2011Q1,trd0490__L2,0.08752
2011Q1,srv0058__L1,0.45896
2011Q1,srv0133__L0,0.13194
2011Q1,srv0154__L1,0.1314
2011Q1,srv0337__L0,0.50766
2011Q1,prd0431__L0,0.50274
2011Q1,glb0560__L1,0.66421
2011Q1,srv0304__L1,0.80074
2011Q1,srv0108__L1,0.22122
2011Q1,ord0347__L0,0.51848
2011Q1,trd0489__L1,0.02751
2011Q1,srv0171__L0,0.35085
2011Q1,srv0322__L2,0.4814
2011Q2,trn0393__L1,0.51645
2011Q2,ord0358__L1,0.51259
2011Q2,ord0356__L0,0.05881
2011Q2,srv0335__L1,0.48167
2011Q2,srv0171__L0,0.2774
2011Q2,srv0316__L0,0.14886
2011Q2,ord0347__L2,0.39394
2011Q2,srv0049__L0,0.72605
2011Q2,srv0059__L1,0.02735
2011Q2,prd0443__L2,0.6488
2011Q2,srv0092__L2,1.00358
2011Q2,msc0582__L0,0.12037
2011Q2,msc0574__L1,0.3209
2011Q2,srv0104__L2,0.23828
2011Q2,trd0467__L1,0.70237
2011Q2,srv0017__L2,0.80353
2011Q2,prd0431__L1,0.05352
2011Q2,srv0198__L2,0.56132
2011Q2,srv0305__L0,0.37473
2011Q2,srv0324__L2,0.48356
2011Q2,cmd0521__L2,0.04718
2011Q2,srv0117__L2,0.15421
2011Q2,srv0337__L2,0.08894
2011Q2,glb0560__L0,1.36874
2011Q2,prd0438__L0,0.13512
2011Q2,ord0353__L2,0.0646
2011Q2,srv0015__L1,1.99851
2011Q2,con0446__L1,0.21487
2011Q2,srv0108__L1,0.03645
2011Q2,prd0419__L0,0.38406
2011Q2,srv0132__L1,0.67375
2011Q2,ord0340__L2,0.53852
2011Q2,cmd0517__L2,1.65494
2011Q2,msc0585__L0,0.18451
2011Q2,srv0128__L2,0.49919
2011Q2,srv0236__L1,0.95114
2011Q2,srv0158__L2,0.70879
2011Q2,srv0113__L2,0.26508
2011Q2,srv0210__L2,1.1634
2011Q2,srv0252__L0,0.13566
2011Q2,srv0054__L2,0.14579
2011Q2,srv0135__L1,0.27778
2011Q2,srv0011__L2,0.59173
2011Q2,srv0046__L1,0.14492
